Class of Travel,Quota,Source Station,Destination Station,Number of Passengers,Age of Passengers,Travel Distance,Number of Stations,Travel Time,Train Type,Seat Availability,Special Considerations,Holiday or Peak Season,Waitlist Position,Confirmation Status,journey_month,journey_dayofweek,days_before_journey
1AC,Premium Tatkal,SBC,CNB,2,Adult,1133,14,39,Superfast,368,Senior Citizen,Yes,0.0,1,11,5,244
3AC,Tatkal,BCT,NDLS,5,Senior Citizen,200,14,7,Express,273,Defense Quota,No,0.0,1,11,6,244
1AC,General,PNBE,BBS,3,Adult,485,11,7,Shatabdi,463,No_Special_Consideration,No,0.0,1,11,0,244
3AC,Ladies,NJP,PNBE,2,Adult,1486,12,27,Superfast,400,No_Special_Consideration,Yes,155.0,0,11,1,244
1AC,Premium Tatkal,CNB,ADI,2,Adult,1729,7,21,Superfast,268,Senior Citizen,Yes,0.0,1,11,2,244
2AC,Premium Tatkal,PNBE,NJP,1,Child,1977,7,18,Shatabdi,88,Senior Citizen,Yes,0.0,1,11,3,244
1AC,General,SBC,BCT,4,Child,1184,17,31,Rajdhani,385,Defense Quota,Yes,198.0,0,11,4,244
Sleeper,Ladies,BCT,BCT,1,Child,1903,3,24,Express,371,No_Special_Consideration,Yes,117.0,0,11,5,244
Sleeper,Ladies,KOAA,LTT,3,Child,540,12,18,Express,230,Defense Quota,Yes,0.0,1,11,6,244
Sleeper,Ladies,KOAA,CSMT,1,Adult,1524,12,28,Shatabdi,99,Defense Quota,Yes,0.0,1,11,0,244
Sleeper,General,JP,BBS,2,Adult,432,18,44,Shatabdi,417,Defense Quota,No,0.0,1,11,1,244
3AC,Premium Tatkal,BCT,ADI,3,Child,817,13,3,Shatabdi,63,Senior Citizen,No,0.0,1,11,2,244
1AC,Ladies,ASR,NJP,3,Adult,950,8,19,Express,37,Senior Citizen,No,109.0,0,11,3,244
1AC,Tatkal,BBS,MAS,5,Adult,1747,12,32,Shatabdi,447,Senior Citizen,Yes,66.0,0,11,4,244
3AC,Ladies,SC,GKP,2,Child,1783,12,18,Rajdhani,293,Senior Citizen,Yes,0.0,1,11,5,244
2AC,Ladies,CSMT,JU,2,Senior Citizen,274,17,27,Express,19,No_Special_Consideration,No,0.0,1,12,6,244
Sleeper,Tatkal,CSMT,SBC,4,Senior Citizen,1000,13,32,Superfast,455,Defense Quota,No,0.0,1,12,0,244
2AC,Tatkal,MMCT,HWH,5,Senior Citizen,1164,10,4,Rajdhani,404,Defense Quota,Yes,0.0,1,12,1,244
3AC,General,SBC,SC,3,Adult,1843,16,36,Superfast,490,Defense Quota,No,198.0,0,12,2,244
Sleeper,Tatkal,LTT,MMCT,2,Child,729,13,29,Rajdhani,248,Defense Quota,Yes,72.0,0,12,3,244
Sleeper,Premium Tatkal,BCT,ADI,1,Senior Citizen,1905,9,7,Superfast,362,No_Special_Consideration,Yes,0.0,1,12,4,244
2AC,General,JP,PNBE,3,Child,1031,15,13,Rajdhani,6,Defense Quota,No,0.0,1,12,5,244
1AC,Premium Tatkal,UMB,SC,2,Adult,179,4,43,Express,349,No_Special_Consideration,No,107.0,0,12,6,244
1AC,Tatkal,SC,BCT,5,Adult,1862,16,3,Express,289,Defense Quota,No,54.0,0,12,0,244
3AC,Premium Tatkal,LTT,PNBE,1,Senior Citizen,251,9,37,Superfast,275,No_Special_Consideration,No,0.0,1,12,1,244
Sleeper,Ladies,JU,SC,4,Senior Citizen,396,16,4,Express,132,Senior Citizen,Yes,52.0,0,12,2,244
1AC,Premium Tatkal,HWH,NDLS,2,Child,885,9,30,Rajdhani,203,Defense Quota,No,198.0,0,12,3,244
3AC,General,ADI,CSMT,5,Child,1656,2,41,Rajdhani,423,Defense Quota,No,166.0,0,12,4,244
3AC,Tatkal,SBC,BBS,5,Adult,239,2,34,Shatabdi,365,Senior Citizen,No,3.0,0,12,5,244
1AC,Ladies,BCT,BCT,1,Child,1756,15,4,Superfast,116,Senior Citizen,No,0.0,1,12,6,244
2AC,Premium Tatkal,BCT,JP,4,Senior Citizen,1189,17,32,Rajdhani,77,Defense Quota,Yes,0.0,1,12,0,244
1AC,Ladies,LKO,BSB,4,Senior Citizen,1249,16,47,Superfast,286,Defense Quota,Yes,106.0,0,12,1,244
3AC,Premium Tatkal,PNBE,GKP,2,Adult,651,8,20,Superfast,321,No_Special_Consideration,No,108.0,0,12,2,244
1AC,Premium Tatkal,MAS,CNB,1,Adult,299,9,16,Shatabdi,206,Senior Citizen,No,0.0,1,12,3,244
3AC,General,UMB,ASR,1,Adult,1475,11,37,Rajdhani,204,Senior Citizen,Yes,73.0,0,12,4,244
Sleeper,Premium Tatkal,GKP,BSB,4,Child,346,9,41,Rajdhani,363,Senior Citizen,No,0.0,1,12,5,244
Sleeper,Tatkal,SBC,BCT,1,Adult,566,3,30,Superfast,14,Defense Quota,No,0.0,1,12,6,244
2AC,General,CNB,ADI,3,Adult,591,5,30,Express,189,Defense Quota,No,0.0,1,12,0,244
1AC,Premium Tatkal,NDLS,LKO,2,Child,1609,19,43,Superfast,232,Senior Citizen,Yes,170.0,0,12,1,244
3AC,Premium Tatkal,LKO,CNB,5,Child,599,9,30,Superfast,383,Senior Citizen,No,123.0,0,12,2,244
3AC,Tatkal,MMCT,BSB,5,Adult,187,11,3,Rajdhani,310,No_Special_Consideration,Yes,0.0,1,12,3,244
1AC,Premium Tatkal,BBS,PNBE,2,Adult,1157,11,21,Shatabdi,75,Defense Quota,Yes,72.0,0,12,4,244
3AC,Ladies,UMB,JHS,4,Adult,320,19,24,Express,278,No_Special_Consideration,No,0.0,1,12,5,244
1AC,General,UMB,NJP,1,Senior Citizen,1444,4,44,Rajdhani,354,Defense Quota,Yes,0.0,1,12,6,244
3AC,Premium Tatkal,CSMT,MAS,5,Senior Citizen,326,14,20,Superfast,278,Senior Citizen,No,99.0,0,12,0,244
2AC,General,LTT,UMB,5,Child,1068,15,4,Express,68,Defense Quota,Yes,163.0,0,12,1,244
Sleeper,Ladies,PNBE,JU,5,Senior Citizen,1415,15,23,Superfast,251,Defense Quota,No,0.0,1,1,2,244
1AC,Tatkal,LKO,SC,3,Adult,1947,2,38,Express,118,Defense Quota,No,0.0,1,1,3,244
3AC,Ladies,LKO,BSB,5,Senior Citizen,172,17,21,Express,466,Defense Quota,No,12.0,0,1,4,244
Sleeper,Ladies,JP,JU,5,Child,741,12,11,Express,15,Senior Citizen,No,0.0,1,1,5,244
2AC,Premium Tatkal,SBC,LTT,4,Senior Citizen,63,17,19,Express,108,Defense Quota,Yes,185.0,0,1,6,244
Sleeper,General,CSMT,KOAA,5,Adult,216,11,39,Superfast,437,Senior Citizen,No,0.0,1,1,0,244
2AC,Tatkal,KOAA,UMB,1,Adult,284,3,17,Rajdhani,324,Defense Quota,No,174.0,0,1,1,244
3AC,Ladies,MMCT,MMCT,4,Adult,554,16,43,Shatabdi,429,No_Special_Consideration,Yes,0.0,1,1,2,244
3AC,Ladies,CNB,SBC,5,Child,1683,17,4,Superfast,404,Defense Quota,Yes,41.0,0,1,3,244
1AC,Tatkal,NDLS,ADI,1,Adult,989,5,23,Shatabdi,413,No_Special_Consideration,No,42.0,0,1,4,244
2AC,Tatkal,SBC,NJP,2,Senior Citizen,53,12,47,Superfast,276,Defense Quota,Yes,0.0,1,1,5,244
2AC,Tatkal,HWH,SC,4,Child,896,4,6,Superfast,331,Defense Quota,Yes,0.0,1,1,6,244
1AC,Premium Tatkal,MAS,UMB,5,Adult,1636,16,4,Rajdhani,283,No_Special_Consideration,Yes,89.0,0,1,0,244
3AC,Premium Tatkal,JP,JP,5,Child,1757,3,6,Express,45,Defense Quota,Yes,0.0,1,1,1,244
1AC,General,ADI,SBC,5,Child,1475,19,35,Superfast,475,No_Special_Consideration,No,125.0,0,1,2,244
2AC,Tatkal,LTT,JU,4,Senior Citizen,945,5,34,Rajdhani,224,No_Special_Consideration,No,140.0,0,1,3,244
1AC,Premium Tatkal,PNBE,BCT,3,Senior Citizen,272,13,42,Shatabdi,20,Senior Citizen,Yes,0.0,1,1,4,244
3AC,Premium Tatkal,BSB,NDLS,1,Adult,1035,5,44,Shatabdi,415,No_Special_Consideration,No,0.0,1,1,5,244
Sleeper,Ladies,KOAA,CNB,5,Senior Citizen,1546,18,7,Superfast,175,No_Special_Consideration,No,0.0,1,1,6,244
Sleeper,Tatkal,CNB,NJP,1,Adult,1755,19,12,Superfast,400,Senior Citizen,No,0.0,1,1,0,244
1AC,Tatkal,MAS,CNB,1,Adult,1048,4,44,Superfast,237,Senior Citizen,No,0.0,1,1,1,244
3AC,Ladies,ASR,SBC,2,Senior Citizen,530,6,11,Rajdhani,336,No_Special_Consideration,No,0.0,1,1,2,244
2AC,Ladies,BBS,MMCT,2,Senior Citizen,937,17,47,Express,95,No_Special_Consideration,Yes,0.0,1,1,3,244
1AC,Ladies,PNBE,KOAA,4,Senior Citizen,560,2,21,Rajdhani,221,Senior Citizen,No,186.0,0,1,4,244
1AC,Tatkal,PNBE,MAS,3,Child,1312,5,12,Superfast,30,No_Special_Consideration,Yes,0.0,1,1,5,244
Sleeper,Ladies,BSB,HWH,2,Child,1088,17,23,Rajdhani,146,Senior Citizen,No,0.0,1,1,6,244
Sleeper,Tatkal,HWH,PNBE,1,Senior Citizen,1660,7,42,Shatabdi,21,Senior Citizen,Yes,0.0,1,1,0,244
2AC,Ladies,SBC,BSB,2,Senior Citizen,1090,4,10,Rajdhani,108,Senior Citizen,Yes,0.0,1,1,1,244
3AC,General,CNB,LKO,2,Senior Citizen,1074,7,38,Shatabdi,384,Defense Quota,No,0.0,1,1,2,244
Sleeper,General,JP,SBC,1,Adult,411,11,46,Express,31,Senior Citizen,No,95.0,0,1,3,244
3AC,Tatkal,LKO,NJP,2,Senior Citizen,1007,13,40,Rajdhani,283,Senior Citizen,No,33.0,0,1,4,244
2AC,Ladies,NJP,BBS,4,Adult,464,4,37,Shatabdi,93,Senior Citizen,No,0.0,1,2,5,244
Sleeper,Premium Tatkal,CNB,ADI,2,Adult,1637,3,34,Express,462,No_Special_Consideration,No,74.0,0,2,6,244
Sleeper,Tatkal,BSB,MAS,1,Senior Citizen,803,4,14,Rajdhani,247,Senior Citizen,Yes,0.0,1,2,0,244
3AC,Tatkal,HWH,KOAA,4,Adult,925,14,18,Superfast,222,Senior Citizen,Yes,111.0,0,2,1,244
2AC,Premium Tatkal,GKP,CNB,5,Child,625,3,27,Rajdhani,236,Senior Citizen,Yes,0.0,1,2,2,244
1AC,Tatkal,ASR,GKP,5,Child,396,8,2,Rajdhani,432,Senior Citizen,No,0.0,1,2,3,244
2AC,Premium Tatkal,BSB,BCT,5,Adult,1951,5,30,Shatabdi,43,No_Special_Consideration,Yes,48.0,0,2,4,244
3AC,General,MMCT,LKO,5,Adult,1568,5,39,Superfast,7,Senior Citizen,Yes,0.0,1,2,5,244
3AC,Ladies,MAS,SBC,1,Senior Citizen,263,7,9,Shatabdi,177,No_Special_Consideration,No,17.0,0,2,6,244
3AC,Premium Tatkal,MAS,SC,5,Adult,434,15,29,Express,171,Senior Citizen,Yes,0.0,1,2,0,244
1AC,General,BCT,CSMT,1,Senior Citizen,332,13,10,Shatabdi,100,Defense Quota,No,42.0,0,2,1,244
1AC,Ladies,ADI,LTT,5,Senior Citizen,1386,6,4,Express,417,Senior Citizen,Yes,113.0,0,2,2,244
1AC,General,LKO,GKP,4,Senior Citizen,1605,18,8,Superfast,305,Defense Quota,Yes,0.0,1,2,3,244
2AC,Premium Tatkal,HWH,JU,2,Senior Citizen,1755,16,25,Express,452,No_Special_Consideration,No,0.0,1,2,4,244
Sleeper,Tatkal,MMCT,PNBE,5,Adult,526,2,38,Superfast,88,No_Special_Consideration,Yes,0.0,1,2,5,244
1AC,Premium Tatkal,ASR,NJP,5,Senior Citizen,987,17,19,Rajdhani,158,Defense Quota,No,0.0,1,2,6,244
3AC,Tatkal,CSMT,GKP,4,Child,1594,13,18,Shatabdi,371,Senior Citizen,No,0.0,1,2,0,244
3AC,Ladies,MAS,CNB,1,Child,693,19,39,Shatabdi,156,No_Special_Consideration,Yes,0.0,1,2,1,244
1AC,General,SBC,BSB,3,Senior Citizen,69,19,23,Superfast,214,Senior Citizen,Yes,0.0,1,2,2,244
2AC,General,NDLS,ASR,4,Senior Citizen,1779,5,18,Shatabdi,191,No_Special_Consideration,No,0.0,1,2,3,244
2AC,Tatkal,PNBE,UMB,1,Child,1383,13,17,Superfast,3,Senior Citizen,No,0.0,1,2,4,244
Sleeper,General,ADI,GKP,1,Senior Citizen,1014,17,36,Superfast,36,No_Special_Consideration,No,0.0,1,2,5,244
2AC,General,BBS,NDLS,4,Adult,1941,11,45,Superfast,82,Defense Quota,No,113.0,0,2,6,244
Sleeper,Ladies,KOAA,LTT,2,Senior Citizen,864,11,35,Rajdhani,471,No_Special_Consideration,No,0.0,1,2,0,244
2AC,General,MMCT,MAS,4,Adult,1518,11,36,Rajdhani,325,Defense Quota,No,0.0,1,2,1,244
Sleeper,General,JP,JHS,4,Adult,326,9,3,Shatabdi,42,Defense Quota,No,0.0,1,2,2,244
3AC,General,SBC,JU,1,Senior Citizen,1154,17,25,Superfast,1,Senior Citizen,No,0.0,1,2,3,244
Sleeper,General,NDLS,GKP,4,Adult,1632,15,3,Rajdhani,255,Defense Quota,Yes,0.0,1,2,4,244
Sleeper,Tatkal,MAS,SC,1,Child,738,5,22,Rajdhani,14,No_Special_Consideration,Yes,0.0,1,3,5,244
1AC,Ladies,ADI,BBS,5,Child,424,17,18,Superfast,173,Defense Quota,No,86.0,0,3,6,244
1AC,Tatkal,MAS,KOAA,5,Senior Citizen,344,14,5,Express,164,Defense Quota,Yes,0.0,1,3,0,244
1AC,Ladies,SC,CNB,5,Adult,952,14,32,Shatabdi,87,Defense Quota,No,119.0,0,3,1,244
1AC,Premium Tatkal,MAS,BSB,3,Adult,740,8,32,Rajdhani,223,Defense Quota,No,0.0,1,3,2,244
3AC,Ladies,JHS,JP,4,Senior Citizen,764,6,9,Express,352,Defense Quota,No,68.0,0,3,3,244
Sleeper,General,NJP,LKO,2,Adult,252,6,18,Shatabdi,457,Senior Citizen,Yes,0.0,1,3,4,244
Sleeper,Tatkal,ASR,MAS,2,Child,323,11,42,Superfast,297,No_Special_Consideration,No,0.0,1,3,5,244
Sleeper,General,KOAA,HWH,1,Adult,209,12,22,Express,75,Senior Citizen,Yes,19.0,0,3,6,244
1AC,General,BSB,BBS,5,Child,1507,8,31,Shatabdi,380,Defense Quota,No,0.0,1,3,0,244
2AC,Tatkal,ADI,HWH,4,Child,1045,16,18,Shatabdi,173,Senior Citizen,Yes,0.0,1,3,1,244
3AC,Ladies,MMCT,CNB,2,Adult,1308,7,42,Superfast,52,Defense Quota,No,0.0,1,3,2,244
1AC,General,NDLS,LTT,2,Child,1818,12,20,Superfast,341,Defense Quota,No,0.0,1,3,3,244
3AC,General,LTT,KOAA,2,Adult,639,12,21,Superfast,191,No_Special_Consideration,Yes,50.0,0,3,4,244
3AC,Tatkal,BBS,SBC,3,Adult,1386,3,34,Rajdhani,156,Senior Citizen,Yes,0.0,1,3,5,244
1AC,Premium Tatkal,BBS,KOAA,1,Adult,52,4,3,Express,233,Senior Citizen,No,0.0,1,3,6,244
2AC,General,ASR,HWH,4,Child,532,16,30,Superfast,62,No_Special_Consideration,Yes,0.0,1,3,0,244
1AC,Premium Tatkal,PNBE,LKO,3,Senior Citizen,450,8,18,Shatabdi,166,Defense Quota,Yes,15.0,0,3,1,244
2AC,General,LTT,CSMT,5,Senior Citizen,1942,4,45,Rajdhani,28,Defense Quota,No,0.0,1,3,2,244
1AC,Premium Tatkal,BSB,JHS,1,Child,192,13,14,Superfast,44,Senior Citizen,No,0.0,1,3,3,244
2AC,General,BSB,CNB,2,Child,1492,19,7,Shatabdi,160,Senior Citizen,No,0.0,1,3,4,244
3AC,General,MMCT,LTT,1,Adult,1702,2,47,Superfast,373,Senior Citizen,No,0.0,1,3,5,244
Sleeper,Premium Tatkal,LTT,BBS,2,Adult,276,15,34,Rajdhani,237,No_Special_Consideration,No,60.0,0,3,6,244
1AC,General,CSMT,LTT,4,Child,931,10,19,Shatabdi,231,Defense Quota,Yes,66.0,0,3,0,244
2AC,Ladies,GKP,BBS,3,Senior Citizen,1184,19,17,Express,56,Defense Quota,No,0.0,1,3,1,244
1AC,Ladies,CSMT,BBS,1,Adult,133,16,30,Rajdhani,7,No_Special_Consideration,No,60.0,0,3,2,244
3AC,Ladies,SC,BBS,1,Child,666,13,26,Rajdhani,191,Senior Citizen,No,28.0,0,3,3,244
3AC,Ladies,BCT,LKO,4,Child,1155,17,3,Shatabdi,111,No_Special_Consideration,Yes,0.0,1,3,4,244
Sleeper,Tatkal,BBS,SBC,1,Adult,441,19,29,Rajdhani,170,Defense Quota,No,0.0,1,3,5,244
1AC,General,LTT,CNB,3,Senior Citizen,268,3,17,Shatabdi,248,Senior Citizen,No,0.0,1,3,6,244
Sleeper,Ladies,ADI,ADI,1,Adult,799,10,30,Superfast,3,Defense Quota,No,0.0,1,3,0,244
1AC,Premium Tatkal,JHS,BSB,5,Adult,767,2,44,Express,66,No_Special_Consideration,No,0.0,1,4,1,244
3AC,Tatkal,JU,GKP,4,Senior Citizen,910,12,45,Shatabdi,247,No_Special_Consideration,No,0.0,1,4,2,244
2AC,General,JP,LTT,4,Adult,858,15,28,Superfast,288,No_Special_Consideration,No,0.0,1,4,3,244
Sleeper,Premium Tatkal,UMB,SBC,5,Senior Citizen,335,6,15,Express,408,No_Special_Consideration,Yes,117.0,0,4,4,244
1AC,Ladies,BCT,GKP,2,Child,137,18,24,Rajdhani,387,No_Special_Consideration,Yes,0.0,1,4,5,244
Sleeper,General,UMB,BCT,1,Senior Citizen,1737,15,3,Express,215,No_Special_Consideration,No,0.0,1,4,6,244
3AC,Tatkal,HWH,JU,2,Child,789,14,9,Rajdhani,368,Defense Quota,No,0.0,1,4,0,244
3AC,Ladies,KOAA,JHS,4,Child,1330,16,36,Rajdhani,202,Defense Quota,No,119.0,0,4,1,244
