Class of Travel,Quota,Source Station,Destination Station,Number of Passengers,Age of Passengers,Travel Distance,Number of Stations,Travel Time,Train Type,Seat Availability,Special Considerations,Holiday or Peak Season,Waitlist Position,Confirmation Status,journey_month,journey_dayofweek,days_before_journey,is_peak_or_holiday,seat_pressure,route_length_per_stop,booking_urgency_bucket
3AC,General,KOAA,BCT,2,Adult,84,16,5,Superfast,158,Senior Citizen,Yes,0.0,1,10,2,244,1,0.012578616352201259,4.9411764705882355,early
1AC,Ladies,HWH,ASR,1,Senior Citizen,1104,8,46,Shatabdi,152,Senior Citizen,No,0.0,1,10,3,244,0,0.006535947712418301,122.66666666666667,early
2AC,General,PNBE,ADI,4,Child,676,13,30,Express,128,No_Special_Consideration,Yes,0.0,1,10,4,244,1,0.031007751937984496,48.285714285714285,early
3AC,Tatkal,PNBE,LTT,2,Adult,1826,13,29,Shatabdi,368,No_Special_Consideration,Yes,0.0,1,10,5,244,1,0.005420054200542005,130.42857142857142,early
3AC,Premium Tatkal,KOAA,JU,5,Adult,1913,19,14,Express,135,Senior Citizen,Yes,0.0,1,10,6,244,1,0.03676470588235294,95.65,early
1AC,Premium Tatkal,SBC,LTT,5,Child,275,18,3,Shatabdi,137,Defense Quota,Yes,0.0,1,10,0,244,1,0.036231884057971016,14.473684210526315,early
2AC,General,JU,BSB,4,Adult,815,9,30,Shatabdi,97,Defense Quota,No,0.0,1,10,1,244,0,0.04081632653061224,81.5,early
Sleeper,Ladies,PNBE,LTT,4,Senior Citizen,298,10,29,Rajdhani,480,No_Special_Consideration,Yes,0.0,1,10,2,244,1,0.008316008316008316,27.09090909090909,early
2AC,Ladies,CSMT,JHS,3,Senior Citizen,560,16,43,Express,134,Defense Quota,Yes,166.0,0,10,3,244,1,0.022222222222222223,32.94117647058823,early
3AC,Tatkal,BSB,SC,1,Child,1677,10,38,Superfast,309,No_Special_Consideration,No,0.0,1,10,4,244,0,0.0032258064516129032,152.45454545454547,early
2AC,Ladies,JHS,ADI,2,Adult,1824,15,37,Rajdhani,56,Defense Quota,No,107.0,0,10,5,244,0,0.03508771929824561,114.0,early
2AC,Ladies,LKO,GKP,4,Adult,125,14,46,Shatabdi,263,No_Special_Consideration,Yes,0.0,1,10,6,244,1,0.015151515151515152,8.333333333333334,early
2AC,Tatkal,BCT,MAS,2,Senior Citizen,1521,16,31,Shatabdi,411,No_Special_Consideration,Yes,0.0,1,10,0,244,1,0.0048543689320388345,89.47058823529412,early
2AC,Premium Tatkal,BSB,MAS,3,Child,1549,9,21,Express,286,No_Special_Consideration,Yes,0.0,1,10,1,244,1,0.010452961672473868,154.9,early
3AC,Ladies,LTT,BSB,1,Child,1117,3,17,Shatabdi,411,No_Special_Consideration,No,185.0,0,10,2,244,0,0.0024271844660194173,279.25,early
Sleeper,Ladies,JP,CNB,1,Adult,716,2,41,Rajdhani,228,Senior Citizen,Yes,13.0,0,10,3,244,1,0.004366812227074236,238.66666666666666,early
3AC,General,SBC,JU,2,Child,1200,7,19,Rajdhani,164,Senior Citizen,No,0.0,1,11,4,244,0,0.012121212121212121,150.0,early
1AC,General,JHS,GKP,2,Senior Citizen,231,16,6,Superfast,170,No_Special_Consideration,Yes,0.0,1,11,5,244,1,0.011695906432748537,13.588235294117647,early
3AC,Tatkal,GKP,GKP,1,Adult,248,17,45,Superfast,9,Senior Citizen,No,0.0,1,11,6,244,0,0.1,13.777777777777779,early
2AC,Premium Tatkal,LKO,BSB,4,Child,1491,9,13,Express,347,Defense Quota,No,0.0,1,11,0,244,0,0.011494252873563218,149.1,early
3AC,Tatkal,MMCT,SC,1,Child,130,18,43,Superfast,264,No_Special_Consideration,Yes,111.0,0,11,1,244,1,0.0037735849056603774,6.842105263157895,early
3AC,Premium Tatkal,CNB,MAS,2,Adult,239,4,26,Shatabdi,447,Defense Quota,No,45.0,0,11,2,244,0,0.004464285714285714,47.8,early
2AC,Tatkal,HWH,BCT,4,Adult,1903,16,37,Express,267,No_Special_Consideration,Yes,0.0,1,11,3,244,1,0.014925373134328358,111.94117647058823,early
Sleeper,Ladies,CNB,MMCT,5,Child,511,17,45,Superfast,476,Senior Citizen,No,50.0,0,11,4,244,0,0.010482180293501049,28.38888888888889,early
Sleeper,Tatkal,GKP,NJP,4,Adult,95,6,21,Shatabdi,269,Senior Citizen,Yes,0.0,1,11,5,244,1,0.014814814814814815,13.571428571428571,early
2AC,Premium Tatkal,BCT,PNBE,4,Senior Citizen,56,17,46,Rajdhani,146,No_Special_Consideration,No,0.0,1,11,6,244,0,0.027210884353741496,3.111111111111111,early
2AC,General,BBS,ADI,2,Senior Citizen,561,15,37,Express,317,No_Special_Consideration,No,194.0,0,11,0,244,0,0.006289308176100629,35.0625,early
Sleeper,Premium Tatkal,PNBE,NDLS,4,Adult,1924,2,20,Rajdhani,121,No_Special_Consideration,No,0.0,1,11,1,244,0,0.03278688524590164,641.3333333333334,early
3AC,General,UMB,HWH,4,Senior Citizen,1271,4,18,Shatabdi,189,Defense Quota,No,155.0,0,11,2,244,0,0.021052631578947368,254.2,early
1AC,Premium Tatkal,UMB,SBC,1,Adult,1815,2,31,Rajdhani,446,No_Special_Consideration,No,0.0,1,11,3,244,0,0.0022371364653243847,605.0,early
2AC,General,KOAA,NJP,1,Child,674,18,6,Shatabdi,293,Senior Citizen,No,0.0,1,11,4,244,0,0.003401360544217687,35.473684210526315,early
1AC,Premium Tatkal,SBC,CNB,2,Adult,1133,14,39,Superfast,368,Senior Citizen,Yes,0.0,1,11,5,244,1,0.005420054200542005,75.53333333333333,early
3AC,Tatkal,BCT,NDLS,5,Senior Citizen,200,14,7,Express,273,Defense Quota,No,0.0,1,11,6,244,0,0.01824817518248175,13.333333333333334,early
1AC,General,PNBE,BBS,3,Adult,485,11,7,Shatabdi,463,No_Special_Consideration,No,0.0,1,11,0,244,0,0.00646551724137931,40.416666666666664,early
3AC,Ladies,NJP,PNBE,2,Adult,1486,12,27,Superfast,400,No_Special_Consideration,Yes,155.0,0,11,1,244,1,0.004987531172069825,114.3076923076923,early
1AC,Premium Tatkal,CNB,ADI,2,Adult,1729,7,21,Superfast,268,Senior Citizen,Yes,0.0,1,11,2,244,1,0.007434944237918215,216.125,early
2AC,Premium Tatkal,PNBE,NJP,1,Child,1977,7,18,Shatabdi,88,Senior Citizen,Yes,0.0,1,11,3,244,1,0.011235955056179775,247.125,early
1AC,General,SBC,BCT,4,Child,1184,17,31,Rajdhani,385,Defense Quota,Yes,198.0,0,11,4,244,1,0.010362694300518135,65.77777777777777,early
Sleeper,Ladies,BCT,BCT,1,Child,1903,3,24,Express,371,No_Special_Consideration,Yes,117.0,0,11,5,244,1,0.002688172043010753,475.75,early
Sleeper,Ladies,KOAA,LTT,3,Child,540,12,18,Express,230,Defense Quota,Yes,0.0,1,11,6,244,1,0.012987012987012988,41.53846153846154,early
Sleeper,Ladies,KOAA,CSMT,1,Adult,1524,12,28,Shatabdi,99,Defense Quota,Yes,0.0,1,11,0,244,1,0.01,117.23076923076923,early
Sleeper,General,JP,BBS,2,Adult,432,18,44,Shatabdi,417,Defense Quota,No,0.0,1,11,1,244,0,0.004784688995215311,22.736842105263158,early
3AC,Premium Tatkal,BCT,ADI,3,Child,817,13,3,Shatabdi,63,Senior Citizen,No,0.0,1,11,2,244,0,0.046875,58.357142857142854,early
1AC,Ladies,ASR,NJP,3,Adult,950,8,19,Express,37,Senior Citizen,No,109.0,0,11,3,244,0,0.07894736842105263,105.55555555555556,early
1AC,Tatkal,BBS,MAS,5,Adult,1747,12,32,Shatabdi,447,Senior Citizen,Yes,66.0,0,11,4,244,1,0.011160714285714286,134.3846153846154,early
3AC,Ladies,SC,GKP,2,Child,1783,12,18,Rajdhani,293,Senior Citizen,Yes,0.0,1,11,5,244,1,0.006802721088435374,137.15384615384616,early
2AC,Ladies,CSMT,JU,2,Senior Citizen,274,17,27,Express,19,No_Special_Consideration,No,0.0,1,12,6,244,0,0.1,15.222222222222221,early
Sleeper,Tatkal,CSMT,SBC,4,Senior Citizen,1000,13,32,Superfast,455,Defense Quota,No,0.0,1,12,0,244,0,0.008771929824561403,71.42857142857143,early
2AC,Tatkal,MMCT,HWH,5,Senior Citizen,1164,10,4,Rajdhani,404,Defense Quota,Yes,0.0,1,12,1,244,1,0.012345679012345678,105.81818181818181,early
3AC,General,SBC,SC,3,Adult,1843,16,36,Superfast,490,Defense Quota,No,198.0,0,12,2,244,0,0.006109979633401222,108.41176470588235,early
Sleeper,Tatkal,LTT,MMCT,2,Child,729,13,29,Rajdhani,248,Defense Quota,Yes,72.0,0,12,3,244,1,0.008032128514056224,52.07142857142857,early
Sleeper,Premium Tatkal,BCT,ADI,1,Senior Citizen,1905,9,7,Superfast,362,No_Special_Consideration,Yes,0.0,1,12,4,244,1,0.0027548209366391185,190.5,early
2AC,General,JP,PNBE,3,Child,1031,15,13,Rajdhani,6,Defense Quota,No,0.0,1,12,5,244,0,0.42857142857142855,64.4375,early
1AC,Premium Tatkal,UMB,SC,2,Adult,179,4,43,Express,349,No_Special_Consideration,No,107.0,0,12,6,244,0,0.005714285714285714,35.8,early
1AC,Tatkal,SC,BCT,5,Adult,1862,16,3,Express,289,Defense Quota,No,54.0,0,12,0,244,0,0.017241379310344827,109.52941176470588,early
3AC,Premium Tatkal,LTT,PNBE,1,Senior Citizen,251,9,37,Superfast,275,No_Special_Consideration,No,0.0,1,12,1,244,0,0.0036231884057971015,25.1,early
Sleeper,Ladies,JU,SC,4,Senior Citizen,396,16,4,Express,132,Senior Citizen,Yes,52.0,0,12,2,244,1,0.03007518796992481,23.294117647058822,early
1AC,Premium Tatkal,HWH,NDLS,2,Child,885,9,30,Rajdhani,203,Defense Quota,No,198.0,0,12,3,244,0,0.00980392156862745,88.5,early
3AC,General,ADI,CSMT,5,Child,1656,2,41,Rajdhani,423,Defense Quota,No,166.0,0,12,4,244,0,0.01179245283018868,552.0,early
3AC,Tatkal,SBC,BBS,5,Adult,239,2,34,Shatabdi,365,Senior Citizen,No,3.0,0,12,5,244,0,0.01366120218579235,79.66666666666667,early
1AC,Ladies,BCT,BCT,1,Child,1756,15,4,Superfast,116,Senior Citizen,No,0.0,1,12,6,244,0,0.008547008547008548,109.75,early
2AC,Premium Tatkal,BCT,JP,4,Senior Citizen,1189,17,32,Rajdhani,77,Defense Quota,Yes,0.0,1,12,0,244,1,0.05128205128205128,66.05555555555556,early
1AC,Ladies,LKO,BSB,4,Senior Citizen,1249,16,47,Superfast,286,Defense Quota,Yes,106.0,0,12,1,244,1,0.013937282229965157,73.47058823529412,early
3AC,Premium Tatkal,PNBE,GKP,2,Adult,651,8,20,Superfast,321,No_Special_Consideration,No,108.0,0,12,2,244,0,0.006211180124223602,72.33333333333333,early
1AC,Premium Tatkal,MAS,CNB,1,Adult,299,9,16,Shatabdi,206,Senior Citizen,No,0.0,1,12,3,244,0,0.004830917874396135,29.9,early
3AC,General,UMB,ASR,1,Adult,1475,11,37,Rajdhani,204,Senior Citizen,Yes,73.0,0,12,4,244,1,0.004878048780487805,122.91666666666667,early
Sleeper,Premium Tatkal,GKP,BSB,4,Child,346,9,41,Rajdhani,363,Senior Citizen,No,0.0,1,12,5,244,0,0.01098901098901099,34.6,early
Sleeper,Tatkal,SBC,BCT,1,Adult,566,3,30,Superfast,14,Defense Quota,No,0.0,1,12,6,244,0,0.06666666666666667,141.5,early
2AC,General,CNB,ADI,3,Adult,591,5,30,Express,189,Defense Quota,No,0.0,1,12,0,244,0,0.015789473684210527,98.5,early
1AC,Premium Tatkal,NDLS,LKO,2,Child,1609,19,43,Superfast,232,Senior Citizen,Yes,170.0,0,12,1,244,1,0.008583690987124463,80.45,early
3AC,Premium Tatkal,LKO,CNB,5,Child,599,9,30,Superfast,383,Senior Citizen,No,123.0,0,12,2,244,0,0.013020833333333334,59.9,early
3AC,Tatkal,MMCT,BSB,5,Adult,187,11,3,Rajdhani,310,No_Special_Consideration,Yes,0.0,1,12,3,244,1,0.01607717041800643,15.583333333333334,early
1AC,Premium Tatkal,BBS,PNBE,2,Adult,1157,11,21,Shatabdi,75,Defense Quota,Yes,72.0,0,12,4,244,1,0.02631578947368421,96.41666666666667,early
3AC,Ladies,UMB,JHS,4,Adult,320,19,24,Express,278,No_Special_Consideration,No,0.0,1,12,5,244,0,0.014336917562724014,16.0,early
1AC,General,UMB,NJP,1,Senior Citizen,1444,4,44,Rajdhani,354,Defense Quota,Yes,0.0,1,12,6,244,1,0.0028169014084507044,288.8,early
3AC,Premium Tatkal,CSMT,MAS,5,Senior Citizen,326,14,20,Superfast,278,Senior Citizen,No,99.0,0,12,0,244,0,0.017921146953405017,21.733333333333334,early
2AC,General,LTT,UMB,5,Child,1068,15,4,Express,68,Defense Quota,Yes,163.0,0,12,1,244,1,0.07246376811594203,66.75,early
Sleeper,Ladies,PNBE,JU,5,Senior Citizen,1415,15,23,Superfast,251,Defense Quota,No,0.0,1,1,2,244,0,0.01984126984126984,88.4375,early
1AC,Tatkal,LKO,SC,3,Adult,1947,2,38,Express,118,Defense Quota,No,0.0,1,1,3,244,0,0.025210084033613446,649.0,early
3AC,Ladies,LKO,BSB,5,Senior Citizen,172,17,21,Express,466,Defense Quota,No,12.0,0,1,4,244,0,0.010706638115631691,9.555555555555555,early
Sleeper,Ladies,JP,JU,5,Child,741,12,11,Express,15,Senior Citizen,No,0.0,1,1,5,244,0,0.3125,57.0,early
2AC,Premium Tatkal,SBC,LTT,4,Senior Citizen,63,17,19,Express,108,Defense Quota,Yes,185.0,0,1,6,244,1,0.03669724770642202,3.5,early
Sleeper,General,CSMT,KOAA,5,Adult,216,11,39,Superfast,437,Senior Citizen,No,0.0,1,1,0,244,0,0.01141552511415525,18.0,early
2AC,Tatkal,KOAA,UMB,1,Adult,284,3,17,Rajdhani,324,Defense Quota,No,174.0,0,1,1,244,0,0.003076923076923077,71.0,early
3AC,Ladies,MMCT,MMCT,4,Adult,554,16,43,Shatabdi,429,No_Special_Consideration,Yes,0.0,1,1,2,244,1,0.009302325581395349,32.588235294117645,early
3AC,Ladies,CNB,SBC,5,Child,1683,17,4,Superfast,404,Defense Quota,Yes,41.0,0,1,3,244,1,0.012345679012345678,93.5,early
1AC,Tatkal,NDLS,ADI,1,Adult,989,5,23,Shatabdi,413,No_Special_Consideration,No,42.0,0,1,4,244,0,0.0024154589371980675,164.83333333333334,early
2AC,Tatkal,SBC,NJP,2,Senior Citizen,53,12,47,Superfast,276,Defense Quota,Yes,0.0,1,1,5,244,1,0.007220216606498195,4.076923076923077,early
2AC,Tatkal,HWH,SC,4,Child,896,4,6,Superfast,331,Defense Quota,Yes,0.0,1,1,6,244,1,0.012048192771084338,179.2,early
1AC,Premium Tatkal,MAS,UMB,5,Adult,1636,16,4,Rajdhani,283,No_Special_Consideration,Yes,89.0,0,1,0,244,1,0.017605633802816902,96.23529411764706,early
3AC,Premium Tatkal,JP,JP,5,Child,1757,3,6,Express,45,Defense Quota,Yes,0.0,1,1,1,244,1,0.10869565217391304,439.25,early
1AC,General,ADI,SBC,5,Child,1475,19,35,Superfast,475,No_Special_Consideration,No,125.0,0,1,2,244,0,0.01050420168067227,73.75,early
2AC,Tatkal,LTT,JU,4,Senior Citizen,945,5,34,Rajdhani,224,No_Special_Consideration,No,140.0,0,1,3,244,0,0.017777777777777778,157.5,early
1AC,Premium Tatkal,PNBE,BCT,3,Senior Citizen,272,13,42,Shatabdi,20,Senior Citizen,Yes,0.0,1,1,4,244,1,0.14285714285714285,19.428571428571427,early
3AC,Premium Tatkal,BSB,NDLS,1,Adult,1035,5,44,Shatabdi,415,No_Special_Consideration,No,0.0,1,1,5,244,0,0.002403846153846154,172.5,early
Sleeper,Ladies,KOAA,CNB,5,Senior Citizen,1546,18,7,Superfast,175,No_Special_Consideration,No,0.0,1,1,6,244,0,0.028409090909090908,81.36842105263158,early
Sleeper,Tatkal,CNB,NJP,1,Adult,1755,19,12,Superfast,400,Senior Citizen,No,0.0,1,1,0,244,0,0.0024937655860349127,87.75,early
1AC,Tatkal,MAS,CNB,1,Adult,1048,4,44,Superfast,237,Senior Citizen,No,0.0,1,1,1,244,0,0.004201680672268907,209.6,early
3AC,Ladies,ASR,SBC,2,Senior Citizen,530,6,11,Rajdhani,336,No_Special_Consideration,No,0.0,1,1,2,244,0,0.005934718100890208,75.71428571428571,early
2AC,Ladies,BBS,MMCT,2,Senior Citizen,937,17,47,Express,95,No_Special_Consideration,Yes,0.0,1,1,3,244,1,0.020833333333333332,52.05555555555556,early
1AC,Ladies,PNBE,KOAA,4,Senior Citizen,560,2,21,Rajdhani,221,Senior Citizen,No,186.0,0,1,4,244,0,0.018018018018018018,186.66666666666666,early
1AC,Tatkal,PNBE,MAS,3,Child,1312,5,12,Superfast,30,No_Special_Consideration,Yes,0.0,1,1,5,244,1,0.0967741935483871,218.66666666666666,early
Sleeper,Ladies,BSB,HWH,2,Child,1088,17,23,Rajdhani,146,Senior Citizen,No,0.0,1,1,6,244,0,0.013605442176870748,60.44444444444444,early
Sleeper,Tatkal,HWH,PNBE,1,Senior Citizen,1660,7,42,Shatabdi,21,Senior Citizen,Yes,0.0,1,1,0,244,1,0.045454545454545456,207.5,early
2AC,Ladies,SBC,BSB,2,Senior Citizen,1090,4,10,Rajdhani,108,Senior Citizen,Yes,0.0,1,1,1,244,1,0.01834862385321101,218.0,early
3AC,General,CNB,LKO,2,Senior Citizen,1074,7,38,Shatabdi,384,Defense Quota,No,0.0,1,1,2,244,0,0.005194805194805195,134.25,early
Sleeper,General,JP,SBC,1,Adult,411,11,46,Express,31,Senior Citizen,No,95.0,0,1,3,244,0,0.03125,34.25,early
3AC,Tatkal,LKO,NJP,2,Senior Citizen,1007,13,40,Rajdhani,283,Senior Citizen,No,33.0,0,1,4,244,0,0.007042253521126761,71.92857142857143,early
2AC,Ladies,NJP,BBS,4,Adult,464,4,37,Shatabdi,93,Senior Citizen,No,0.0,1,2,5,244,0,0.0425531914893617,92.8,early
Sleeper,Premium Tatkal,CNB,ADI,2,Adult,1637,3,34,Express,462,No_Special_Consideration,No,74.0,0,2,6,244,0,0.004319654427645789,409.25,early
Sleeper,Tatkal,BSB,MAS,1,Senior Citizen,803,4,14,Rajdhani,247,Senior Citizen,Yes,0.0,1,2,0,244,1,0.004032258064516129,160.6,early
3AC,Tatkal,HWH,KOAA,4,Adult,925,14,18,Superfast,222,Senior Citizen,Yes,111.0,0,2,1,244,1,0.017937219730941704,61.666666666666664,early
2AC,Premium Tatkal,GKP,CNB,5,Child,625,3,27,Rajdhani,236,Senior Citizen,Yes,0.0,1,2,2,244,1,0.02109704641350211,156.25,early
1AC,Tatkal,ASR,GKP,5,Child,396,8,2,Rajdhani,432,Senior Citizen,No,0.0,1,2,3,244,0,0.011547344110854504,44.0,early
2AC,Premium Tatkal,BSB,BCT,5,Adult,1951,5,30,Shatabdi,43,No_Special_Consideration,Yes,48.0,0,2,4,244,1,0.11363636363636363,325.1666666666667,early
3AC,General,MMCT,LKO,5,Adult,1568,5,39,Superfast,7,Senior Citizen,Yes,0.0,1,2,5,244,1,0.625,261.3333333333333,early
3AC,Ladies,MAS,SBC,1,Senior Citizen,263,7,9,Shatabdi,177,No_Special_Consideration,No,17.0,0,2,6,244,0,0.0056179775280898875,32.875,early
3AC,Premium Tatkal,MAS,SC,5,Adult,434,15,29,Express,171,Senior Citizen,Yes,0.0,1,2,0,244,1,0.029069767441860465,27.125,early
1AC,General,BCT,CSMT,1,Senior Citizen,332,13,10,Shatabdi,100,Defense Quota,No,42.0,0,2,1,244,0,0.009900990099009901,23.714285714285715,early
1AC,Ladies,ADI,LTT,5,Senior Citizen,1386,6,4,Express,417,Senior Citizen,Yes,113.0,0,2,2,244,1,0.011961722488038277,198.0,early
1AC,General,LKO,GKP,4,Senior Citizen,1605,18,8,Superfast,305,Defense Quota,Yes,0.0,1,2,3,244,1,0.013071895424836602,84.47368421052632,early
