Number of Passengers,Travel Distance,Number of Stations,Travel Time,Seat Availability,journey_month,journey_dayofweek,days_before_journey,seat_pressure,route_length_per_stop,is_peak_or_holiday,Class of Travel,Quota,Source Station,Destination Station,Train Type,Special Considerations,Holiday or Peak Season,booking_urgency_bucket,Age of Passengers
2,1390,4,32,161,12,0,244,0.0123456790123456,278.0,0,Sleeper,General,BSB,NDLS,Rajdhani,Defense Quota,No,early,Senior Citizen
4,1097,15,45,407,12,3,244,0.0098039215686274,68.5625,0,1AC,General,HWH,BSB,Express,Defense Quota,No,early,Child
4,892,15,21,400,2,4,244,0.0099750623441396,55.75,0,3AC,Ladies,MMCT,PNBE,Superfast,No_Special_Consideration,No,early,Adult
4,1462,19,37,272,8,3,244,0.0146520146520146,73.1,0,Sleeper,Tatkal,NDLS,HWH,Superfast,Defense Quota,No,early,Child
5,768,12,28,492,7,2,244,0.0101419878296146,59.07692307692308,0,2AC,Tatkal,CNB,PNBE,Rajdhani,No_Special_Consideration,No,early,Child
2,1472,18,32,121,1,4,244,0.0163934426229508,77.47368421052632,0,1AC,General,JHS,KOAA,Rajdhani,Defense Quota,No,early,Adult
2,802,9,39,143,11,1,244,0.0138888888888888,80.2,1,Sleeper,Ladies,MAS,HWH,Shatabdi,Defense Quota,Yes,early,Child
4,1653,16,41,62,5,6,244,0.0634920634920634,97.23529411764706,1,3AC,Premium Tatkal,NDLS,GKP,Rajdhani,Senior Citizen,Yes,early,Adult
4,1233,19,28,438,4,2,244,0.0091116173120728,61.65,0,1AC,Premium Tatkal,SBC,LTT,Shatabdi,No_Special_Consideration,No,early,Adult
1,441,19,29,170,3,5,244,0.0058479532163742,22.05,0,Sleeper,Tatkal,BBS,SBC,Rajdhani,Defense Quota,No,early,Adult
4,1676,14,31,248,12,5,244,0.0160642570281124,111.73333333333332,0,1AC,Ladies,BSB,GKP,Rajdhani,Defense Quota,No,early,Adult
3,393,4,27,76,7,1,244,0.0389610389610389,78.6,1,3AC,Premium Tatkal,UMB,CSMT,Superfast,No_Special_Consideration,Yes,early,Child
4,1907,13,14,420,5,5,244,0.009501187648456,136.21428571428572,1,2AC,General,CNB,CNB,Express,Senior Citizen,Yes,early,Adult
4,1952,3,36,200,9,3,244,0.0199004975124378,488.0,1,3AC,Tatkal,LKO,JU,Express,Defense Quota,Yes,early,Child
4,1833,4,19,344,10,5,244,0.0115942028985507,366.6,1,2AC,Premium Tatkal,LTT,GKP,Shatabdi,Defense Quota,Yes,early,Senior Citizen
5,360,2,23,421,4,2,244,0.0118483412322274,120.0,0,1AC,Tatkal,PNBE,BBS,Express,No_Special_Consideration,No,early,Adult
1,1579,12,18,123,9,4,244,0.0080645161290322,121.46153846153848,0,1AC,Tatkal,JU,MAS,Shatabdi,Defense Quota,No,early,Child
2,1009,19,45,452,4,3,244,0.0044150110375275,50.45,0,2AC,General,MAS,CSMT,Express,No_Special_Consideration,No,early,Adult
4,1582,11,35,165,11,4,244,0.0240963855421686,131.83333333333334,0,1AC,Premium Tatkal,CSMT,JU,Superfast,Defense Quota,No,early,Child
5,1267,8,11,414,5,3,244,0.0120481927710843,140.77777777777777,0,Sleeper,Tatkal,SBC,LTT,Rajdhani,Defense Quota,No,early,Senior Citizen
4,1599,19,44,358,5,6,244,0.011142061281337,79.95,1,1AC,Ladies,MMCT,JU,Shatabdi,No_Special_Consideration,Yes,early,Adult
5,1163,18,7,372,6,6,244,0.0134048257372654,61.21052631578947,1,1AC,General,PNBE,SBC,Rajdhani,Defense Quota,Yes,early,Adult
4,403,5,43,383,9,6,244,0.0104166666666666,67.16666666666667,0,2AC,Tatkal,UMB,NDLS,Shatabdi,Defense Quota,No,early,Adult
5,834,5,46,489,7,0,244,0.010204081632653,139.0,1,2AC,Ladies,CNB,ASR,Superfast,Defense Quota,Yes,early,Adult
1,284,13,39,457,1,3,244,0.0021834061135371,20.285714285714285,1,3AC,General,BSB,NDLS,Express,Senior Citizen,Yes,early,Senior Citizen
1,633,10,28,356,7,5,244,0.0028011204481792,57.54545454545455,1,3AC,General,GKP,SC,Superfast,Senior Citizen,Yes,early,Senior Citizen
1,1064,18,40,339,11,4,244,0.0029411764705882,56.0,0,Sleeper,Ladies,HWH,LTT,Express,Senior Citizen,No,early,Senior Citizen
2,988,10,45,166,5,6,244,0.0119760479041916,89.81818181818181,0,Sleeper,General,CNB,SC,Shatabdi,Senior Citizen,No,early,Child
3,811,10,4,36,6,0,244,0.081081081081081,73.72727272727273,0,Sleeper,Premium Tatkal,UMB,KOAA,Shatabdi,Defense Quota,No,early,Adult
4,709,2,32,117,4,5,244,0.0338983050847457,236.33333333333337,0,1AC,Tatkal,ADI,MMCT,Superfast,Senior Citizen,No,early,Senior Citizen
5,1233,7,32,374,3,3,244,0.0133333333333333,154.125,0,Sleeper,General,SBC,GKP,Superfast,No_Special_Consideration,No,early,Child
2,1494,7,36,478,12,3,244,0.0041753653444676,186.75,1,1AC,General,PNBE,HWH,Shatabdi,Defense Quota,Yes,early,Adult
2,312,10,37,461,4,4,244,0.0043290043290043,28.363636363636363,0,2AC,Tatkal,JHS,MMCT,Superfast,No_Special_Consideration,No,early,Child
5,115,2,2,205,7,5,244,0.0242718446601941,38.333333333333336,1,3AC,Premium Tatkal,BCT,GKP,Superfast,No_Special_Consideration,Yes,early,Senior Citizen
4,1552,16,2,232,10,3,244,0.0171673819742489,91.29411764705884,1,2AC,Premium Tatkal,SBC,PNBE,Express,No_Special_Consideration,Yes,early,Adult
2,1137,16,47,117,11,6,244,0.0169491525423728,66.88235294117646,0,3AC,Premium Tatkal,GKP,UMB,Rajdhani,Senior Citizen,No,early,Senior Citizen
2,1515,2,23,441,6,3,244,0.004524886877828,505.0,1,3AC,Premium Tatkal,HWH,JHS,Superfast,No_Special_Consideration,Yes,early,Adult
2,77,15,4,200,6,4,244,0.0099502487562189,4.8125,0,Sleeper,Tatkal,MAS,BBS,Express,Defense Quota,No,early,Child
4,549,2,28,276,10,3,244,0.0144404332129963,183.0,0,1AC,Premium Tatkal,LTT,JHS,Express,No_Special_Consideration,No,early,Senior Citizen
2,1711,5,46,111,9,3,244,0.0178571428571428,285.1666666666667,0,3AC,Tatkal,BCT,NJP,Rajdhani,Defense Quota,No,early,Adult
4,1631,13,22,70,8,1,244,0.056338028169014,116.5,0,1AC,Tatkal,BSB,KOAA,Shatabdi,Defense Quota,No,early,Child
4,1367,7,17,366,4,6,244,0.0108991825613079,170.875,0,2AC,Tatkal,PNBE,NDLS,Superfast,Defense Quota,No,early,Adult
2,525,5,16,315,10,2,244,0.0063291139240506,87.5,0,1AC,Ladies,ADI,BBS,Superfast,Defense Quota,No,early,Senior Citizen
1,1899,16,13,455,9,6,244,0.0021929824561403,111.70588235294116,1,2AC,Ladies,LTT,LKO,Superfast,No_Special_Consideration,Yes,early,Child
2,1527,4,22,331,7,5,244,0.0060240963855421,305.4,0,1AC,Ladies,PNBE,KOAA,Rajdhani,Defense Quota,No,early,Child
5,1660,19,31,312,7,5,244,0.0159744408945686,83.0,1,Sleeper,Ladies,MAS,BCT,Express,Senior Citizen,Yes,early,Senior Citizen
2,1794,5,47,50,11,5,244,0.0392156862745098,299.0,0,Sleeper,Premium Tatkal,MAS,LTT,Superfast,Defense Quota,No,early,Child
5,547,5,20,351,8,4,244,0.0142045454545454,91.16666666666669,1,2AC,General,KOAA,KOAA,Shatabdi,Senior Citizen,Yes,early,Adult
5,1434,15,15,91,12,3,244,0.0543478260869565,89.625,0,3AC,Ladies,SC,CNB,Shatabdi,Senior Citizen,No,early,Senior Citizen
1,1708,3,38,212,5,5,244,0.0046948356807511,427.0,0,3AC,Premium Tatkal,CNB,BSB,Rajdhani,No_Special_Consideration,No,early,Senior Citizen
2,166,8,43,62,2,4,244,0.0317460317460317,18.444444444444443,0,1AC,Premium Tatkal,ASR,CSMT,Shatabdi,Defense Quota,No,early,Senior Citizen
1,1414,4,37,300,1,5,244,0.0033222591362126,282.8,1,Sleeper,Ladies,KOAA,SC,Superfast,Senior Citizen,Yes,early,Adult
5,1471,18,6,103,6,5,244,0.048076923076923,77.42105263157895,0,1AC,Tatkal,SBC,LTT,Shatabdi,No_Special_Consideration,No,early,Senior Citizen
2,1689,9,15,210,8,0,244,0.0094786729857819,168.9,1,3AC,Premium Tatkal,ADI,KOAA,Superfast,No_Special_Consideration,Yes,early,Senior Citizen
4,894,13,19,226,6,5,244,0.0176211453744493,63.857142857142854,0,1AC,Ladies,ADI,MAS,Rajdhani,No_Special_Consideration,No,early,Adult
2,1305,3,38,74,10,3,244,0.0266666666666666,326.25,0,3AC,Ladies,KOAA,JHS,Superfast,No_Special_Consideration,No,early,Senior Citizen
4,486,3,36,235,12,3,244,0.0169491525423728,121.5,1,3AC,Premium Tatkal,UMB,GKP,Superfast,No_Special_Consideration,Yes,early,Adult
3,1177,17,13,461,5,2,244,0.0064935064935064,65.38888888888889,0,2AC,Ladies,LTT,MAS,Rajdhani,Defense Quota,No,early,Child
1,176,19,30,310,8,5,244,0.0032154340836012,8.8,1,2AC,General,LTT,MAS,Shatabdi,Defense Quota,Yes,early,Child
2,1801,17,32,362,3,1,244,0.0055096418732782,100.05555555555556,0,2AC,General,JP,HWH,Rajdhani,Senior Citizen,No,early,Senior Citizen
5,990,5,31,403,10,0,244,0.0123762376237623,165.0,1,1AC,General,JP,SC,Superfast,Senior Citizen,Yes,early,Adult
4,1441,12,10,224,8,3,244,0.0177777777777777,110.84615384615384,1,1AC,General,SC,BBS,Express,No_Special_Consideration,Yes,early,Senior Citizen
4,244,5,16,385,12,5,244,0.0103626943005181,40.666666666666664,0,Sleeper,General,JU,HWH,Shatabdi,No_Special_Consideration,No,early,Adult
4,1325,2,24,199,11,5,244,0.02,441.6666666666667,0,1AC,Tatkal,PNBE,BSB,Express,Senior Citizen,No,early,Senior Citizen
4,50,2,16,180,11,4,244,0.0220994475138121,16.666666666666668,1,3AC,Premium Tatkal,SBC,GKP,Rajdhani,Senior Citizen,Yes,early,Child
4,662,10,4,472,11,5,244,0.0084566596194503,60.18181818181818,1,1AC,General,ASR,BCT,Rajdhani,Defense Quota,Yes,early,Adult
1,930,3,2,469,11,4,244,0.002127659574468,232.5,1,2AC,Ladies,SC,NJP,Rajdhani,Defense Quota,Yes,early,Senior Citizen
4,1198,15,19,483,7,0,244,0.0082644628099173,74.875,1,Sleeper,General,PNBE,KOAA,Express,Defense Quota,Yes,early,Senior Citizen
3,1903,4,46,350,8,0,244,0.0085470085470085,380.6,1,2AC,Tatkal,HWH,JU,Rajdhani,Defense Quota,Yes,early,Adult
5,1424,5,46,437,8,2,244,0.0114155251141552,237.33333333333337,0,Sleeper,Premium Tatkal,SBC,NDLS,Superfast,Defense Quota,No,early,Senior Citizen
3,1684,2,42,265,9,3,244,0.0112781954887218,561.3333333333334,0,1AC,Tatkal,CNB,PNBE,Shatabdi,Senior Citizen,No,early,Senior Citizen
3,648,19,6,20,6,1,244,0.1428571428571428,32.4,1,2AC,General,SC,KOAA,Express,Defense Quota,Yes,early,Senior Citizen
5,530,13,7,108,2,0,244,0.0458715596330275,37.857142857142854,1,1AC,Premium Tatkal,NJP,MAS,Superfast,Senior Citizen,Yes,early,Adult
5,419,15,2,243,11,6,244,0.0204918032786885,26.1875,1,2AC,Tatkal,ASR,JHS,Superfast,Senior Citizen,Yes,early,Senior Citizen
4,1366,12,34,142,11,1,244,0.0279720279720279,105.07692307692308,0,Sleeper,Tatkal,PNBE,MAS,Express,Defense Quota,No,early,Senior Citizen
1,1883,19,8,250,11,5,244,0.0039840637450199,94.15,0,Sleeper,Premium Tatkal,MAS,JU,Superfast,Defense Quota,No,early,Child
2,1956,6,11,305,2,0,244,0.0065359477124183,279.42857142857144,0,1AC,Tatkal,NJP,BBS,Express,Senior Citizen,No,early,Senior Citizen
1,1747,8,46,183,2,6,244,0.0054347826086956,194.11111111111111,1,1AC,Ladies,JHS,MMCT,Superfast,No_Special_Consideration,Yes,early,Senior Citizen
2,292,5,18,445,2,3,244,0.0044843049327354,48.666666666666664,1,3AC,Ladies,BBS,ADI,Superfast,Senior Citizen,Yes,early,Adult
1,1090,19,23,469,3,5,244,0.002127659574468,54.5,0,Sleeper,General,BSB,BBS,Rajdhani,Senior Citizen,No,early,Senior Citizen
5,1597,6,5,464,9,5,244,0.010752688172043,228.1428571428571,0,2AC,Tatkal,KOAA,CNB,Superfast,Senior Citizen,No,early,Senior Citizen
4,514,12,38,114,6,2,244,0.0347826086956521,39.53846153846154,0,3AC,Premium Tatkal,BCT,BCT,Superfast,Senior Citizen,No,early,Senior Citizen
3,305,13,36,86,11,4,244,0.0344827586206896,21.785714285714285,1,1AC,Premium Tatkal,ADI,CSMT,Shatabdi,Defense Quota,Yes,early,Child
4,1009,16,4,143,4,2,244,0.0277777777777777,59.35294117647059,1,1AC,Ladies,UMB,UMB,Express,Senior Citizen,Yes,early,Senior Citizen
1,229,12,9,168,8,5,244,0.0059171597633136,17.615384615384617,1,1AC,General,MMCT,GKP,Shatabdi,Senior Citizen,Yes,early,Adult
2,1908,19,9,450,1,1,244,0.0044345898004434,95.4,0,2AC,Ladies,JP,CSMT,Express,Defense Quota,No,early,Adult
5,1158,11,39,480,1,0,244,0.0103950103950103,96.5,1,1AC,Tatkal,LTT,UMB,Express,No_Special_Consideration,Yes,early,Adult
3,995,14,14,45,6,6,244,0.0652173913043478,66.33333333333333,1,3AC,General,LKO,NJP,Rajdhani,Defense Quota,Yes,early,Senior Citizen
3,610,19,20,439,2,1,244,0.0068181818181818,30.5,0,2AC,Premium Tatkal,HWH,CSMT,Express,Defense Quota,No,early,Child
2,497,9,19,212,11,0,244,0.0093896713615023,49.7,1,2AC,Ladies,MMCT,JU,Express,Senior Citizen,Yes,early,Adult
2,1890,14,5,447,2,0,244,0.0044642857142857,126.0,1,2AC,Premium Tatkal,NDLS,JHS,Shatabdi,No_Special_Consideration,Yes,early,Adult
3,1278,15,13,304,4,3,244,0.0098360655737704,79.875,1,3AC,Premium Tatkal,HWH,BSB,Express,Senior Citizen,Yes,early,Senior Citizen
5,458,3,40,42,5,3,244,0.1162790697674418,114.5,0,2AC,Tatkal,PNBE,JU,Rajdhani,Defense Quota,No,early,Senior Citizen
3,708,6,15,30,6,4,244,0.0967741935483871,101.14285714285714,1,1AC,Premium Tatkal,ASR,KOAA,Rajdhani,Senior Citizen,Yes,early,Child
3,882,13,4,6,12,3,244,0.4285714285714285,63.0,1,3AC,Ladies,KOAA,ADI,Superfast,Defense Quota,Yes,early,Adult
3,890,16,18,327,7,5,244,0.0091463414634146,52.35294117647059,0,2AC,Premium Tatkal,JHS,MMCT,Superfast,Defense Quota,No,early,Senior Citizen
1,1153,6,33,273,9,0,244,0.0036496350364963,164.71428571428572,0,2AC,General,MMCT,BBS,Superfast,Defense Quota,No,early,Senior Citizen
4,1294,16,8,249,10,6,244,0.016,76.11764705882354,0,1AC,General,SC,UMB,Shatabdi,Defense Quota,No,early,Child
2,506,8,25,157,5,2,244,0.0126582278481012,56.22222222222222,0,3AC,Premium Tatkal,UMB,NJP,Rajdhani,Defense Quota,No,early,Child
2,395,17,37,451,9,3,244,0.0044247787610619,21.944444444444443,0,1AC,Ladies,JHS,LTT,Express,No_Special_Consideration,No,early,Child
2,354,3,20,392,11,1,244,0.005089058524173,88.5,0,1AC,Tatkal,ADI,CNB,Rajdhani,No_Special_Consideration,No,early,Adult
3,1179,16,37,218,4,2,244,0.0136986301369863,69.3529411764706,1,3AC,General,MAS,PNBE,Express,Senior Citizen,Yes,early,Senior Citizen
3,1456,16,35,434,2,3,244,0.0068965517241379,85.6470588235294,0,3AC,Tatkal,MAS,JHS,Superfast,Defense Quota,No,early,Child
5,1013,10,13,52,3,5,244,0.0943396226415094,92.0909090909091,0,3AC,Premium Tatkal,JP,PNBE,Rajdhani,Defense Quota,No,early,Adult
4,308,13,38,169,2,1,244,0.0235294117647058,22.0,0,1AC,Ladies,SBC,NDLS,Superfast,Senior Citizen,No,early,Senior Citizen
1,223,11,10,332,6,3,244,0.003003003003003,18.583333333333332,1,Sleeper,General,PNBE,UMB,Express,Defense Quota,Yes,early,Child
5,263,3,41,221,11,3,244,0.0225225225225225,65.75,1,3AC,Ladies,SBC,NJP,Shatabdi,No_Special_Consideration,Yes,early,Adult
5,1326,3,36,2,8,3,244,1.6666666666666667,331.5,0,1AC,General,LTT,ADI,Shatabdi,No_Special_Consideration,No,early,Adult
5,1068,16,5,293,4,6,244,0.0170068027210884,62.8235294117647,0,2AC,Tatkal,CSMT,JP,Express,Defense Quota,No,early,Senior Citizen
5,372,13,2,312,5,0,244,0.0159744408945686,26.571428571428573,0,2AC,General,BSB,JP,Superfast,Defense Quota,No,early,Senior Citizen
5,1950,7,37,405,7,6,244,0.0123152709359605,243.75,0,1AC,General,BCT,ASR,Superfast,Senior Citizen,No,early,Senior Citizen
3,1896,13,22,312,5,6,244,0.0095846645367412,135.42857142857142,0,Sleeper,Ladies,LKO,HWH,Rajdhani,Senior Citizen,No,early,Child
5,1687,16,37,207,3,4,244,0.0240384615384615,99.23529411764706,1,Sleeper,Ladies,CSMT,JU,Superfast,Senior Citizen,Yes,early,Senior Citizen
5,233,10,7,293,1,1,244,0.0170068027210884,21.181818181818183,0,1AC,Tatkal,PNBE,CSMT,Express,Defense Quota,No,early,Senior Citizen
4,1353,19,33,96,4,4,244,0.0412371134020618,67.65,1,Sleeper,General,ASR,UMB,Shatabdi,Senior Citizen,Yes,early,Senior Citizen
2,171,2,19,13,11,2,244,0.1428571428571428,57.0,1,3AC,Premium Tatkal,BSB,JHS,Rajdhani,Defense Quota,Yes,early,Adult
2,1956,19,7,23,11,6,244,0.0833333333333333,97.8,1,1AC,Ladies,ADI,CNB,Express,No_Special_Consideration,Yes,early,Adult
3,600,12,15,491,11,2,244,0.0060975609756097,46.15384615384615,0,3AC,Premium Tatkal,NJP,SBC,Superfast,No_Special_Consideration,No,early,Child
3,1804,16,44,104,5,6,244,0.0285714285714285,106.11764705882354,0,2AC,Ladies,GKP,ASR,Superfast,Defense Quota,No,early,Adult
5,1665,16,42,117,9,3,244,0.0423728813559322,97.94117647058825,1,2AC,General,LTT,KOAA,Shatabdi,Defense Quota,Yes,early,Senior Citizen
5,223,15,37,449,9,4,244,0.0111111111111111,13.9375,1,3AC,General,MMCT,PNBE,Superfast,No_Special_Consideration,Yes,early,Child
1,457,13,45,57,11,3,244,0.0172413793103448,32.642857142857146,1,1AC,Tatkal,BBS,CSMT,Rajdhani,Senior Citizen,Yes,early,Child
5,194,5,15,137,3,2,244,0.036231884057971,32.333333333333336,1,2AC,General,MAS,CSMT,Rajdhani,Senior Citizen,Yes,early,Senior Citizen
4,1290,3,2,71,3,4,244,0.0555555555555555,322.5,1,Sleeper,Premium Tatkal,GKP,JP,Express,Defense Quota,Yes,early,Child
3,177,9,41,160,3,0,244,0.0186335403726708,17.7,0,3AC,Ladies,ADI,MMCT,Express,No_Special_Consideration,No,early,Senior Citizen
4,1016,9,10,242,3,2,244,0.0164609053497942,101.6,1,2AC,Tatkal,MAS,NJP,Rajdhani,Senior Citizen,Yes,early,Child
1,1863,17,18,482,11,3,244,0.0020703933747412,103.5,1,3AC,General,JU,SC,Express,No_Special_Consideration,Yes,early,Child
1,1914,9,39,474,8,5,244,0.0021052631578947,191.4,1,2AC,Premium Tatkal,HWH,CNB,Superfast,Defense Quota,Yes,early,Adult
1,730,16,18,63,3,0,244,0.015625,42.94117647058823,0,3AC,Premium Tatkal,BCT,JU,Rajdhani,Defense Quota,No,early,Senior Citizen
5,557,3,14,82,12,4,244,0.0602409638554216,139.25,0,2AC,General,ASR,BSB,Shatabdi,Defense Quota,No,early,Adult
4,1741,11,19,484,5,2,244,0.0082474226804123,145.08333333333334,1,2AC,Ladies,CNB,JHS,Rajdhani,No_Special_Consideration,Yes,early,Child
4,1711,16,13,21,10,5,244,0.1818181818181818,100.6470588235294,1,1AC,General,HWH,HWH,Rajdhani,No_Special_Consideration,Yes,early,Child
4,1025,9,15,490,9,2,244,0.0081466395112016,102.5,0,3AC,Ladies,JU,LTT,Rajdhani,Senior Citizen,No,early,Child
4,244,17,30,264,6,6,244,0.0150943396226415,13.555555555555555,1,1AC,Ladies,BSB,LKO,Superfast,Senior Citizen,Yes,early,Senior Citizen
4,1202,17,12,220,2,4,244,0.0180995475113122,66.77777777777777,0,3AC,General,BCT,BCT,Express,No_Special_Consideration,No,early,Child
2,1904,19,17,212,10,4,244,0.0093896713615023,95.2,0,1AC,General,NDLS,BBS,Shatabdi,Senior Citizen,No,early,Adult
2,596,16,24,478,6,4,244,0.0041753653444676,35.05882352941177,0,3AC,Ladies,LTT,BSB,Shatabdi,Senior Citizen,No,early,Child
2,592,10,6,22,9,5,244,0.0869565217391304,53.81818181818182,1,2AC,General,HWH,CSMT,Shatabdi,Senior Citizen,Yes,early,Adult
4,1723,4,27,458,11,2,244,0.008714596949891,344.6,0,1AC,Premium Tatkal,MMCT,SC,Shatabdi,Senior Citizen,No,early,Senior Citizen
3,206,4,7,395,6,4,244,0.0075757575757575,41.2,1,Sleeper,Premium Tatkal,CSMT,NDLS,Rajdhani,Defense Quota,Yes,early,Child
4,584,3,47,73,10,6,244,0.054054054054054,146.0,0,Sleeper,General,CSMT,JHS,Express,No_Special_Consideration,No,early,Adult
4,1295,2,13,211,1,3,244,0.0188679245283018,431.6666666666667,1,1AC,General,PNBE,SBC,Superfast,Defense Quota,Yes,early,Child
3,1455,18,44,365,2,4,244,0.0081967213114754,76.57894736842105,0,1AC,Tatkal,SBC,NJP,Shatabdi,Senior Citizen,No,early,Senior Citizen
5,1703,17,12,335,3,0,244,0.0148809523809523,94.61111111111111,1,Sleeper,Ladies,SC,BSB,Express,No_Special_Consideration,Yes,early,Adult
5,424,11,17,144,12,1,244,0.0344827586206896,35.333333333333336,1,3AC,Tatkal,MMCT,JU,Superfast,Defense Quota,Yes,early,Adult
1,1892,2,12,289,11,4,244,0.0034482758620689,630.6666666666666,1,Sleeper,Tatkal,HWH,JP,Express,No_Special_Consideration,Yes,early,Senior Citizen
1,676,16,15,0,7,6,244,1.0,39.76470588235294,1,1AC,Tatkal,SC,JP,Express,No_Special_Consideration,Yes,early,Senior Citizen
1,1398,6,45,216,6,2,244,0.0046082949308755,199.71428571428572,1,Sleeper,Premium Tatkal,MMCT,BBS,Shatabdi,No_Special_Consideration,Yes,early,Senior Citizen
5,1514,12,29,197,12,2,244,0.0252525252525252,116.46153846153848,0,1AC,Tatkal,CSMT,JU,Express,Senior Citizen,No,early,Child
3,823,12,39,421,11,6,244,0.0071090047393364,63.30769230769231,0,1AC,Ladies,SC,SC,Express,No_Special_Consideration,No,early,Child
1,1627,14,32,425,5,0,244,0.0023474178403755,108.46666666666668,1,3AC,General,JP,LTT,Rajdhani,Defense Quota,Yes,early,Adult
1,988,10,31,98,9,2,244,0.0101010101010101,89.81818181818181,0,3AC,Premium Tatkal,CSMT,KOAA,Rajdhani,Defense Quota,No,early,Adult
2,179,10,9,108,5,3,244,0.018348623853211,16.272727272727273,0,1AC,Tatkal,BCT,SC,Express,Senior Citizen,No,early,Child
2,444,2,30,338,6,5,244,0.0058997050147492,148.0,0,Sleeper,General,CSMT,ADI,Express,No_Special_Consideration,No,early,Senior Citizen
4,1695,8,36,36,9,5,244,0.1081081081081081,188.33333333333337,0,Sleeper,Tatkal,HWH,ADI,Shatabdi,No_Special_Consideration,No,early,Senior Citizen
5,1036,16,5,313,9,4,244,0.0159235668789808,60.94117647058823,1,2AC,Premium Tatkal,CSMT,MAS,Rajdhani,No_Special_Consideration,Yes,early,Adult
1,1413,10,17,422,6,5,244,0.0023640661938534,128.45454545454547,0,1AC,Ladies,KOAA,CSMT,Rajdhani,Senior Citizen,No,early,Child
2,832,15,7,216,6,2,244,0.0092165898617511,52.0,0,1AC,Tatkal,BCT,GKP,Express,Senior Citizen,No,early,Adult
1,898,19,33,226,3,3,244,0.0044052863436123,44.9,0,3AC,Ladies,HWH,NDLS,Rajdhani,Defense Quota,No,early,Senior Citizen
4,1418,4,34,149,3,2,244,0.0266666666666666,283.6,1,2AC,Ladies,KOAA,SC,Rajdhani,No_Special_Consideration,Yes,early,Adult
2,1331,10,32,110,7,2,244,0.018018018018018,121.0,1,Sleeper,General,ASR,JP,Rajdhani,No_Special_Consideration,Yes,early,Senior Citizen
2,1510,7,47,127,3,1,244,0.015625,188.75,1,2AC,Tatkal,CNB,JU,Rajdhani,No_Special_Consideration,Yes,early,Adult
1,1703,11,13,459,12,6,244,0.0021739130434782,141.91666666666666,0,3AC,General,SBC,CSMT,Shatabdi,Senior Citizen,No,early,Adult
2,992,5,2,352,3,4,244,0.0056657223796034,165.33333333333334,0,3AC,General,LKO,MAS,Shatabdi,Defense Quota,No,early,Child
3,397,11,8,103,8,5,244,0.0288461538461538,33.083333333333336,1,Sleeper,General,HWH,MAS,Rajdhani,No_Special_Consideration,Yes,early,Child
2,747,8,36,421,2,1,244,0.0047393364928909,83.0,1,3AC,Tatkal,MMCT,BBS,Superfast,Senior Citizen,Yes,early,Child
