Number of Passengers,Travel Distance,Number of Stations,Travel Time,Seat Availability,journey_month,journey_dayofweek,days_before_journey,seat_pressure,route_length_per_stop,is_peak_or_holiday,Class of Travel,Quota,Source Station,Destination Station,Train Type,Special Considerations,Holiday or Peak Season,booking_urgency_bucket,Age of Passengers
2,118,5,30,467,12,6,244,0.0042735042735042,19.666666666666668,0,Sleeper,General,JU,PNBE,Superfast,Defense Quota,No,early,Adult
5,307,13,4,136,9,5,244,0.0364963503649635,21.928571428571427,0,1AC,Ladies,BSB,JU,Rajdhani,Defense Quota,No,early,Senior Citizen
1,903,14,8,294,5,4,244,0.0033898305084745,60.2,1,1AC,Tatkal,CNB,KOAA,Shatabdi,Defense Quota,Yes,early,Child
5,1111,4,36,284,2,1,244,0.0175438596491228,222.2,0,2AC,Ladies,MAS,MMCT,Rajdhani,Defense Quota,No,early,Adult
1,859,12,39,235,5,4,244,0.0042372881355932,66.07692307692308,0,2AC,General,CSMT,BBS,Express,Senior Citizen,No,early,Senior Citizen
4,857,17,35,134,12,2,244,0.0296296296296296,47.611111111111114,0,2AC,General,JHS,NJP,Shatabdi,Defense Quota,No,early,Adult
2,945,2,10,41,3,5,244,0.0476190476190476,315.0,0,3AC,Tatkal,JU,JU,Shatabdi,Defense Quota,No,early,Senior Citizen
3,77,5,37,424,8,2,244,0.0070588235294117,12.833333333333334,0,2AC,Ladies,SC,LTT,Shatabdi,Defense Quota,No,early,Adult
1,1710,17,11,203,3,4,244,0.0049019607843137,95.0,0,Sleeper,Tatkal,CSMT,SC,Rajdhani,Defense Quota,No,early,Child
3,405,9,25,134,2,4,244,0.0222222222222222,40.5,0,2AC,General,CNB,NJP,Express,Senior Citizen,No,early,Adult
3,1999,12,29,257,3,3,244,0.0116279069767441,153.76923076923077,0,2AC,Ladies,ADI,SC,Superfast,Defense Quota,No,early,Adult
2,1824,15,37,56,10,5,244,0.0350877192982456,114.0,0,2AC,Ladies,JHS,ADI,Rajdhani,Defense Quota,No,early,Adult
2,731,11,7,28,1,3,244,0.0689655172413793,60.916666666666664,0,1AC,Premium Tatkal,MAS,LKO,Express,Senior Citizen,No,early,Adult
1,649,17,6,141,1,5,244,0.0070422535211267,36.05555555555556,0,2AC,Premium Tatkal,HWH,BBS,Rajdhani,Defense Quota,No,early,Child
3,184,3,8,120,1,2,244,0.024793388429752,46.0,1,3AC,Ladies,NDLS,JU,Rajdhani,Defense Quota,Yes,early,Adult
5,458,3,18,201,9,6,244,0.0247524752475247,114.5,1,3AC,General,SBC,MMCT,Superfast,Senior Citizen,Yes,early,Senior Citizen
3,1245,10,38,8,6,2,244,0.3333333333333333,113.1818181818182,1,1AC,Ladies,LTT,BCT,Express,Senior Citizen,Yes,early,Adult
2,1525,8,26,340,12,3,244,0.0058651026392961,169.44444444444446,1,1AC,Premium Tatkal,KOAA,PNBE,Superfast,Senior Citizen,Yes,early,Senior Citizen
3,1342,5,8,25,1,1,244,0.1153846153846153,223.66666666666663,1,2AC,Tatkal,LKO,BSB,Rajdhani,Senior Citizen,Yes,early,Child
2,1585,2,32,336,8,6,244,0.0059347181008902,528.3333333333334,0,Sleeper,Tatkal,CNB,LKO,Shatabdi,Senior Citizen,No,early,Adult
3,696,4,30,489,5,3,244,0.0061224489795918,139.2,0,1AC,Ladies,KOAA,SBC,Superfast,Senior Citizen,No,early,Child
1,246,16,39,129,8,4,244,0.0076923076923076,14.470588235294118,0,Sleeper,Tatkal,UMB,SBC,Superfast,Senior Citizen,No,early,Child
4,1993,4,20,355,8,6,244,0.0112359550561797,398.6,1,1AC,General,MMCT,LKO,Express,Senior Citizen,Yes,early,Senior Citizen
2,1968,3,14,198,8,4,244,0.0100502512562814,492.0,0,3AC,Tatkal,SC,LTT,Superfast,Senior Citizen,No,early,Child
3,1417,8,17,282,11,6,244,0.0106007067137809,157.44444444444446,1,2AC,Ladies,JHS,HWH,Shatabdi,No_Special_Consideration,Yes,early,Child
2,1919,16,36,336,4,0,244,0.0059347181008902,112.88235294117646,1,Sleeper,Premium Tatkal,MAS,MMCT,Superfast,Defense Quota,Yes,early,Adult
4,68,11,32,15,1,6,244,0.25,5.666666666666667,0,2AC,Premium Tatkal,BCT,SC,Rajdhani,Defense Quota,No,early,Senior Citizen
1,1599,11,29,335,4,3,244,0.0029761904761904,133.25,0,Sleeper,General,NDLS,BCT,Superfast,No_Special_Consideration,No,early,Adult
3,253,19,37,35,3,4,244,0.0833333333333333,12.65,1,1AC,General,PNBE,HWH,Superfast,Defense Quota,Yes,early,Adult
3,1005,3,8,460,4,4,244,0.0065075921908893,251.25,0,2AC,General,CNB,ADI,Express,Defense Quota,No,early,Child
1,1738,14,7,457,9,4,244,0.0021834061135371,115.86666666666666,1,1AC,General,ADI,CNB,Shatabdi,Senior Citizen,Yes,early,Child
1,246,18,40,187,10,5,244,0.0053191489361702,12.947368421052632,1,1AC,Tatkal,ASR,UMB,Superfast,Defense Quota,Yes,early,Child
4,1156,15,6,347,7,2,244,0.0114942528735632,72.25,0,1AC,Tatkal,MMCT,LKO,Rajdhani,No_Special_Consideration,No,early,Child
5,449,2,6,123,8,5,244,0.0403225806451612,149.66666666666666,1,Sleeper,Ladies,BCT,BBS,Rajdhani,Defense Quota,Yes,early,Adult
2,119,9,47,47,2,2,244,0.0416666666666666,11.9,1,3AC,Tatkal,ADI,KOAA,Rajdhani,Defense Quota,Yes,early,Child
2,1494,10,27,363,11,2,244,0.0054945054945054,135.8181818181818,0,1AC,Ladies,SBC,MAS,Shatabdi,Senior Citizen,No,early,Adult
1,942,16,3,41,4,2,244,0.0238095238095238,55.411764705882355,0,Sleeper,Premium Tatkal,ADI,NDLS,Superfast,Defense Quota,No,early,Adult
5,1890,14,33,381,2,4,244,0.013089005235602,126.0,1,3AC,General,UMB,KOAA,Superfast,Defense Quota,Yes,early,Senior Citizen
5,710,2,24,245,8,0,244,0.0203252032520325,236.66666666666663,0,1AC,Tatkal,CSMT,LTT,Express,Senior Citizen,No,early,Senior Citizen
2,919,5,41,306,7,2,244,0.006514657980456,153.16666666666666,0,2AC,General,CNB,NDLS,Shatabdi,No_Special_Consideration,No,early,Adult
3,714,13,22,294,5,3,244,0.0101694915254237,51.0,0,2AC,Tatkal,NJP,GKP,Superfast,Defense Quota,No,early,Senior Citizen
5,1710,11,30,38,3,5,244,0.1282051282051282,142.5,1,3AC,Ladies,JHS,KOAA,Shatabdi,Defense Quota,Yes,early,Senior Citizen
3,711,13,32,69,2,2,244,0.0428571428571428,50.785714285714285,1,2AC,Tatkal,LTT,BSB,Rajdhani,Defense Quota,Yes,early,Adult
3,1142,6,10,338,12,1,244,0.0088495575221238,163.14285714285714,0,1AC,Tatkal,GKP,LTT,Superfast,Senior Citizen,No,early,Child
5,1873,5,25,431,4,3,244,0.011574074074074,312.1666666666667,1,2AC,Tatkal,BSB,LKO,Shatabdi,Defense Quota,Yes,early,Adult
4,1247,4,39,229,2,3,244,0.017391304347826,249.4,1,Sleeper,Ladies,BBS,SC,Superfast,No_Special_Consideration,Yes,early,Senior Citizen
2,613,7,37,61,1,6,244,0.032258064516129,76.625,1,Sleeper,Ladies,MAS,ADI,Rajdhani,No_Special_Consideration,Yes,early,Adult
3,847,18,31,297,8,4,244,0.0100671140939597,44.578947368421055,0,1AC,Premium Tatkal,GKP,LTT,Shatabdi,No_Special_Consideration,No,early,Senior Citizen
3,108,14,14,206,4,3,244,0.0144927536231884,7.2,0,2AC,Tatkal,MMCT,SBC,Shatabdi,Senior Citizen,No,early,Senior Citizen
3,233,17,3,244,11,6,244,0.0122448979591836,12.944444444444445,1,3AC,Premium Tatkal,CNB,BSB,Express,Defense Quota,Yes,early,Child
5,223,16,30,245,7,3,244,0.0203252032520325,13.117647058823527,1,3AC,Ladies,HWH,ASR,Shatabdi,Senior Citizen,Yes,early,Adult
4,1904,7,5,76,3,5,244,0.0519480519480519,238.0,0,1AC,Tatkal,ADI,JU,Rajdhani,No_Special_Consideration,No,early,Child
2,295,4,41,116,10,2,244,0.017094017094017,59.0,1,2AC,General,SC,LKO,Superfast,Senior Citizen,Yes,early,Senior Citizen
1,448,11,4,425,10,1,244,0.0023474178403755,37.333333333333336,1,Sleeper,Premium Tatkal,BSB,HWH,Rajdhani,Defense Quota,Yes,early,Adult
1,553,19,7,395,8,4,244,0.0025252525252525,27.65,0,2AC,Premium Tatkal,NDLS,BCT,Rajdhani,Senior Citizen,No,early,Senior Citizen
5,1521,18,11,72,5,1,244,0.0684931506849315,80.05263157894737,1,Sleeper,General,CNB,KOAA,Rajdhani,Senior Citizen,Yes,early,Senior Citizen
4,163,15,33,117,9,0,244,0.0338983050847457,10.1875,1,3AC,Ladies,CSMT,ADI,Rajdhani,Senior Citizen,Yes,early,Adult
1,1541,11,16,24,4,3,244,0.04,128.41666666666666,1,2AC,Ladies,JP,CNB,Shatabdi,Defense Quota,Yes,early,Adult
2,947,9,30,365,3,6,244,0.0054644808743169,94.7,0,3AC,Tatkal,JHS,LTT,Superfast,Defense Quota,No,early,Senior Citizen
3,444,16,31,42,3,5,244,0.0697674418604651,26.11764705882353,1,3AC,Tatkal,NDLS,JHS,Rajdhani,No_Special_Consideration,Yes,early,Child
1,73,8,7,325,9,6,244,0.0030674846625766,8.11111111111111,1,1AC,Ladies,BSB,NDLS,Express,No_Special_Consideration,Yes,early,Adult
2,250,19,15,24,5,0,244,0.08,12.5,0,3AC,Tatkal,JP,HWH,Shatabdi,Defense Quota,No,early,Child
1,1879,4,9,14,2,0,244,0.0666666666666666,375.8,0,3AC,Ladies,BBS,ASR,Superfast,Senior Citizen,No,early,Senior Citizen
3,1608,2,6,231,6,1,244,0.0129310344827586,536.0,1,Sleeper,Ladies,CSMT,KOAA,Express,Senior Citizen,Yes,early,Child
1,659,11,40,62,3,6,244,0.0158730158730158,54.916666666666664,0,1AC,General,BBS,GKP,Superfast,Senior Citizen,No,early,Senior Citizen
4,162,9,25,423,1,5,244,0.0094339622641509,16.2,1,1AC,General,GKP,MMCT,Superfast,Senior Citizen,Yes,early,Adult
4,1621,9,13,254,8,2,244,0.0156862745098039,162.1,1,3AC,Ladies,UMB,GKP,Express,Senior Citizen,Yes,early,Child
4,1950,6,37,296,4,5,244,0.0134680134680134,278.57142857142856,0,3AC,Tatkal,SC,MMCT,Rajdhani,Senior Citizen,No,early,Child
1,1131,11,32,168,12,2,244,0.0059171597633136,94.25,1,Sleeper,Ladies,BCT,MMCT,Shatabdi,Defense Quota,Yes,early,Adult
5,909,5,32,446,4,5,244,0.0111856823266219,151.5,1,1AC,General,JU,BBS,Rajdhani,Defense Quota,Yes,early,Adult
5,1683,16,28,264,3,1,244,0.0188679245283018,99.0,1,Sleeper,Ladies,BSB,ADI,Rajdhani,Senior Citizen,Yes,early,Adult
1,558,19,18,327,8,3,244,0.0030487804878048,27.9,0,3AC,Premium Tatkal,MMCT,GKP,Superfast,Senior Citizen,No,early,Child
5,91,15,34,108,8,0,244,0.0458715596330275,5.6875,0,Sleeper,Premium Tatkal,JU,HWH,Shatabdi,No_Special_Consideration,No,early,Senior Citizen
4,1413,7,10,200,1,3,244,0.0199004975124378,176.625,0,3AC,Ladies,UMB,LTT,Express,No_Special_Consideration,No,early,Senior Citizen
5,90,13,42,499,12,1,244,0.01,6.428571428571429,0,1AC,General,MMCT,ASR,Superfast,Defense Quota,No,early,Senior Citizen
1,560,18,24,335,1,1,244,0.0029761904761904,29.473684210526315,0,1AC,Ladies,BCT,BBS,Express,Defense Quota,No,early,Adult
1,514,12,27,352,10,2,244,0.0028328611898017,39.53846153846154,1,1AC,Premium Tatkal,NDLS,BCT,Shatabdi,Defense Quota,Yes,early,Senior Citizen
4,839,16,18,364,12,4,244,0.010958904109589,49.35294117647059,0,3AC,General,LTT,BSB,Rajdhani,Senior Citizen,No,early,Adult
5,172,17,21,466,1,4,244,0.0107066381156316,9.555555555555555,0,3AC,Ladies,LKO,BSB,Express,Defense Quota,No,early,Senior Citizen
3,1843,16,36,490,12,2,244,0.0061099796334012,108.41176470588236,0,3AC,General,SBC,SC,Superfast,Defense Quota,No,early,Adult
1,1113,11,34,183,9,0,244,0.0054347826086956,92.75,1,1AC,General,BSB,LKO,Superfast,Defense Quota,Yes,early,Senior Citizen
4,1265,11,37,86,3,1,244,0.0459770114942528,105.41666666666669,0,1AC,Tatkal,SBC,LKO,Shatabdi,Senior Citizen,No,early,Child
2,1790,16,15,80,7,3,244,0.0246913580246913,105.29411764705884,1,Sleeper,General,CSMT,NJP,Shatabdi,No_Special_Consideration,Yes,early,Senior Citizen
3,1618,7,31,237,3,2,244,0.0126050420168067,202.25,1,2AC,Premium Tatkal,CSMT,NJP,Rajdhani,Senior Citizen,Yes,early,Adult
4,738,2,15,320,2,4,244,0.0124610591900311,246.0,1,1AC,General,MMCT,UMB,Superfast,Senior Citizen,Yes,early,Child
2,845,8,13,153,4,2,244,0.0129870129870129,93.88888888888889,0,1AC,Tatkal,MAS,BSB,Shatabdi,No_Special_Consideration,No,early,Senior Citizen
4,200,13,37,355,12,5,244,0.0112359550561797,14.285714285714286,0,1AC,Premium Tatkal,NDLS,NJP,Superfast,Senior Citizen,No,early,Senior Citizen
4,1126,10,20,459,3,6,244,0.008695652173913,102.36363636363636,0,Sleeper,Premium Tatkal,MAS,JHS,Superfast,No_Special_Consideration,No,early,Adult
3,1595,17,41,260,10,6,244,0.0114942528735632,88.61111111111111,1,1AC,Tatkal,CNB,JHS,Rajdhani,No_Special_Consideration,Yes,early,Adult
5,1505,14,11,427,10,1,244,0.0116822429906542,100.33333333333331,1,2AC,Premium Tatkal,MAS,JHS,Shatabdi,Defense Quota,Yes,early,Senior Citizen
1,1895,19,23,25,3,4,244,0.0384615384615384,94.75,1,2AC,Premium Tatkal,JP,JHS,Rajdhani,No_Special_Consideration,Yes,early,Adult
4,1465,11,16,271,11,6,244,0.0147058823529411,122.08333333333331,0,Sleeper,General,BSB,MMCT,Superfast,Senior Citizen,No,early,Adult
2,1585,16,5,130,1,0,244,0.015267175572519,93.23529411764706,0,3AC,Premium Tatkal,JHS,NDLS,Express,No_Special_Consideration,No,early,Child
1,662,19,28,370,11,5,244,0.0026954177897574,33.1,0,1AC,Premium Tatkal,LKO,BSB,Superfast,Senior Citizen,No,early,Adult
2,1398,11,44,197,6,4,244,0.0101010101010101,116.5,1,3AC,Premium Tatkal,SC,PNBE,Shatabdi,Senior Citizen,Yes,early,Adult
4,341,15,44,279,9,4,244,0.0142857142857142,21.3125,1,1AC,General,BSB,CSMT,Express,No_Special_Consideration,Yes,early,Child
3,1823,5,35,251,8,4,244,0.0119047619047619,303.8333333333333,1,1AC,Premium Tatkal,NJP,JHS,Shatabdi,No_Special_Consideration,Yes,early,Adult
2,571,11,17,98,7,4,244,0.0202020202020202,47.583333333333336,0,3AC,General,PNBE,CSMT,Superfast,Senior Citizen,No,early,Child
2,380,15,8,330,10,0,244,0.0060422960725075,23.75,0,1AC,Tatkal,UMB,BSB,Express,No_Special_Consideration,No,early,Adult
2,1935,12,32,40,12,0,244,0.048780487804878,148.84615384615384,0,1AC,General,HWH,JHS,Express,Senior Citizen,No,early,Senior Citizen
2,1528,2,4,124,4,2,244,0.016,509.3333333333333,0,2AC,Tatkal,UMB,BSB,Shatabdi,No_Special_Consideration,No,early,Adult
1,870,16,10,218,11,6,244,0.0045662100456621,51.1764705882353,0,Sleeper,Ladies,LTT,ASR,Superfast,No_Special_Consideration,No,early,Senior Citizen
5,1932,8,17,336,9,1,244,0.0148367952522255,214.66666666666663,0,3AC,General,LTT,MAS,Shatabdi,No_Special_Consideration,No,early,Child
2,1539,10,38,212,2,4,244,0.0093896713615023,139.9090909090909,1,Sleeper,General,KOAA,MAS,Express,No_Special_Consideration,Yes,early,Senior Citizen
1,659,7,2,292,2,1,244,0.0034129692832764,82.375,1,3AC,Ladies,ADI,JHS,Superfast,Defense Quota,Yes,early,Senior Citizen
1,625,15,16,309,3,6,244,0.0032258064516129,39.0625,1,1AC,Tatkal,SC,UMB,Rajdhani,Senior Citizen,Yes,early,Child
3,1550,14,28,413,6,2,244,0.0072463768115942,103.33333333333331,1,Sleeper,General,KOAA,BBS,Superfast,Senior Citizen,Yes,early,Adult
2,480,4,3,241,7,3,244,0.0082644628099173,96.0,1,2AC,General,BCT,PNBE,Superfast,No_Special_Consideration,Yes,early,Senior Citizen
3,1695,15,20,207,4,3,244,0.0144230769230769,105.9375,0,3AC,Tatkal,BSB,SC,Rajdhani,Senior Citizen,No,early,Senior Citizen
2,1317,6,3,488,12,3,244,0.0040899795501022,188.1428571428571,0,1AC,General,UMB,BCT,Rajdhani,Senior Citizen,No,early,Senior Citizen
4,149,13,27,308,8,0,244,0.0129449838187702,10.642857142857142,0,1AC,Premium Tatkal,SBC,ADI,Rajdhani,Defense Quota,No,early,Senior Citizen
5,253,2,46,345,7,0,244,0.0144508670520231,84.33333333333333,1,1AC,Tatkal,SC,BSB,Rajdhani,Senior Citizen,Yes,early,Senior Citizen
3,1723,9,30,494,3,6,244,0.006060606060606,172.3,0,2AC,Tatkal,ADI,ADI,Shatabdi,No_Special_Consideration,No,early,Child
1,1424,7,24,417,11,2,244,0.0023923444976076,178.0,1,1AC,Premium Tatkal,KOAA,ASR,Superfast,Senior Citizen,Yes,early,Adult
3,540,5,40,158,1,3,244,0.0188679245283018,90.0,1,2AC,Premium Tatkal,SBC,BCT,Rajdhani,Defense Quota,Yes,early,Adult
1,338,18,37,160,6,6,244,0.0062111801242236,17.789473684210527,1,Sleeper,General,NDLS,NJP,Rajdhani,Defense Quota,Yes,early,Senior Citizen
1,1005,7,6,239,12,5,244,0.0041666666666666,125.625,1,1AC,Ladies,KOAA,ASR,Shatabdi,No_Special_Consideration,Yes,early,Senior Citizen
3,1492,6,40,191,4,1,244,0.015625,213.1428571428571,0,1AC,General,CNB,NDLS,Shatabdi,Senior Citizen,No,early,Child
1,1342,11,38,278,1,0,244,0.003584229390681,111.83333333333331,0,1AC,Tatkal,JHS,KOAA,Superfast,Defense Quota,No,early,Adult
1,1627,10,23,164,7,3,244,0.006060606060606,147.9090909090909,1,Sleeper,Premium Tatkal,GKP,LTT,Rajdhani,No_Special_Consideration,Yes,early,Senior Citizen
5,1503,2,4,317,4,6,244,0.0157232704402515,501.0,0,1AC,Tatkal,JP,CNB,Superfast,Defense Quota,No,early,Child
1,685,19,23,407,5,4,244,0.0024509803921568,34.25,0,Sleeper,Ladies,GKP,LKO,Shatabdi,No_Special_Consideration,No,early,Child
3,204,8,42,358,7,2,244,0.0083565459610027,22.666666666666668,0,1AC,Tatkal,HWH,HWH,Superfast,Defense Quota,No,early,Child
5,183,3,38,478,5,0,244,0.0104384133611691,45.75,1,1AC,Tatkal,CNB,ADI,Rajdhani,Defense Quota,Yes,early,Senior Citizen
4,1861,12,43,78,2,1,244,0.050632911392405,143.15384615384616,0,3AC,Tatkal,MMCT,UMB,Superfast,Senior Citizen,No,early,Child
4,515,2,40,269,7,0,244,0.0148148148148148,171.66666666666666,1,3AC,General,NDLS,UMB,Shatabdi,Senior Citizen,Yes,early,Child
2,1046,9,28,160,11,4,244,0.0124223602484472,104.6,1,Sleeper,General,BBS,SBC,Express,Defense Quota,Yes,early,Child
4,885,10,46,374,9,0,244,0.0106666666666666,80.45454545454545,0,2AC,General,LKO,MMCT,Superfast,Defense Quota,No,early,Senior Citizen
4,952,10,24,250,12,0,244,0.0159362549800796,86.54545454545455,0,1AC,General,GKP,JHS,Express,Senior Citizen,No,early,Adult
2,743,4,39,154,3,1,244,0.0129032258064516,148.6,1,Sleeper,Premium Tatkal,JHS,CNB,Rajdhani,No_Special_Consideration,Yes,early,Senior Citizen
4,1373,7,34,40,4,3,244,0.0975609756097561,171.625,1,3AC,Tatkal,MAS,CSMT,Superfast,Defense Quota,Yes,early,Adult
2,1156,15,22,90,2,0,244,0.0219780219780219,72.25,1,2AC,General,BCT,HWH,Superfast,Defense Quota,Yes,early,Child
2,1441,3,19,116,1,6,244,0.017094017094017,360.25,1,Sleeper,Premium Tatkal,LKO,MMCT,Shatabdi,Senior Citizen,Yes,early,Child
5,1923,7,45,90,6,4,244,0.0549450549450549,240.375,1,2AC,Ladies,ADI,PNBE,Shatabdi,No_Special_Consideration,Yes,early,Senior Citizen
2,378,3,37,148,12,1,244,0.0134228187919463,94.5,0,1AC,Ladies,ADI,LTT,Express,No_Special_Consideration,No,early,Child
5,280,18,47,58,6,2,244,0.0847457627118644,14.736842105263158,1,Sleeper,Ladies,SC,PNBE,Shatabdi,Defense Quota,Yes,early,Child
1,1153,7,11,193,8,5,244,0.0051546391752577,144.125,0,3AC,Tatkal,CSMT,SBC,Rajdhani,Defense Quota,No,early,Adult
4,762,5,37,377,3,0,244,0.0105820105820105,127.0,1,Sleeper,Premium Tatkal,SC,JU,Shatabdi,Defense Quota,Yes,early,Senior Citizen
2,1623,8,27,178,5,4,244,0.0111731843575419,180.33333333333337,0,3AC,Tatkal,NDLS,BBS,Express,Senior Citizen,No,early,Adult
2,1599,13,33,98,9,4,244,0.0202020202020202,114.21428571428572,0,3AC,Premium Tatkal,BSB,NJP,Superfast,Senior Citizen,No,early,Child
2,442,17,33,47,10,2,244,0.0416666666666666,24.555555555555557,0,1AC,Ladies,NJP,JU,Superfast,No_Special_Consideration,No,early,Adult
5,312,7,5,434,3,1,244,0.0114942528735632,39.0,0,Sleeper,General,BCT,ADI,Rajdhani,Defense Quota,No,early,Senior Citizen
5,72,6,6,304,3,1,244,0.0163934426229508,10.285714285714286,0,3AC,Ladies,NDLS,NDLS,Rajdhani,No_Special_Consideration,No,early,Senior Citizen
5,813,6,39,454,1,3,244,0.0109890109890109,116.14285714285714,1,Sleeper,Ladies,NDLS,UMB,Shatabdi,No_Special_Consideration,Yes,early,Child
5,1453,7,34,144,3,0,244,0.0344827586206896,181.625,0,1AC,Premium Tatkal,NJP,JHS,Rajdhani,Defense Quota,No,early,Senior Citizen
5,324,19,30,445,12,6,244,0.0112107623318385,16.2,1,1AC,Premium Tatkal,ADI,CNB,Shatabdi,No_Special_Consideration,Yes,early,Senior Citizen
1,444,6,35,339,2,1,244,0.0029411764705882,63.42857142857143,0,1AC,General,CSMT,UMB,Rajdhani,Defense Quota,No,early,Child
1,63,3,33,301,3,6,244,0.0033112582781456,15.75,1,Sleeper,Ladies,SC,HWH,Superfast,No_Special_Consideration,Yes,early,Child
